rank,name,accuracy,n_features,status,best_kernel,features,n_samples
380,combo_11feat_016,0.5624999999999999,11,success,rbf,"nn_count, sdsd, pnn20, pnn50, triangular_index, hf_power, lf_hf_ratio, lf_norm, hf_norm, ln_hf, hf_peak",880
381,combo_2feat_007,0.5613636363636364,2,success,rbf,"nn_mean, hf_power",880
382,combo_4feat_093,0.5613636363636364,4,success,rbf,"triangular_index, hf_norm, ln_hf, lf_peak",880
383,combo_3feat_046,0.5613636363636363,3,success,rbf,"nn_count, pnn50, hf_peak",880
384,combo_4feat_009,0.5613636363636363,4,success,rbf,"lf_power, lf_norm, hf_norm, lf_peak",880
385,combo_4feat_020,0.5613636363636363,4,success,rbf,"nn_mean, sdnn, rmssd, hf_norm",880
386,combo_2feat_006,0.5602272727272728,2,success,rbf,"nn_min, sdsd",880
387,combo_2feat_034,0.5602272727272728,2,success,rbf,"nn_count, lf_hf_ratio",880
388,combo_2feat_043,0.5602272727272728,2,success,rbf,"nn_count, rmssd",880
389,combo_3feat_036,0.5602272727272728,3,success,rbf,"lf_power, hf_norm, hf_peak",880
390,combo_14feat_025,0.5602272727272728,14,success,rbf,"nn_count, nn_max, sdnn, sdsd, rmssd, pnn20, pnn50, triangular_index, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, hf_peak",880
391,combo_4feat_049,0.5602272727272727,4,success,rbf,"nn_min, sdsd, hf_norm, lf_peak",880
392,combo_11feat_010,0.5590909090909092,11,success,rbf,"nn_count, nn_mean, nn_min, nn_max, pnn50, triangular_index, hf_power, lf_norm, hf_norm, ln_hf, hf_peak",880
393,combo_4feat_029,0.5590909090909091,4,success,rbf,"pnn50, triangular_index, hf_norm, ln_hf",880
394,combo_6feat_023,0.5590909090909091,6,success,rbf,"nn_max, sdsd, lf_power, lf_hf_ratio, hf_norm, lf_peak",880
395,combo_11feat_011,0.5590909090909091,11,success,rbf,"nn_mean, nn_min, nn_max, rmssd, pnn50, triangular_index, lf_power, hf_power, lf_hf_ratio, ln_hf, hf_peak",880
396,combo_2feat_010,0.559090909090909,2,success,rbf,"pnn50, triangular_index",880
397,combo_4feat_072,0.5579545454545455,4,success,rbf,"nn_mean, lf_power, hf_power, lf_norm",880
398,combo_12feat_005,0.5579545454545455,12,success,rbf,"nn_count, nn_mean, sdnn, sdsd, rmssd, triangular_index, lf_power, hf_power, lf_norm, ln_hf, lf_peak, hf_peak",880
399,combo_4feat_017,0.5568181818181819,4,success,rbf,"nn_count, nn_min, nn_max, hf_norm",880
400,combo_4feat_030,0.5568181818181819,4,success,rbf,"sdnn, pnn50, triangular_index, hf_peak",880
401,combo_5feat_037,0.5568181818181819,5,success,rbf,"nn_count, nn_min, sdnn, hf_power, ln_hf",880
402,combo_11feat_020,0.5568181818181819,11,success,rbf,"nn_count, nn_mean, nn_min, nn_max, rmssd, triangular_index, lf_hf_ratio, lf_norm, hf_norm, lf_peak, hf_peak",880
403,combo_2feat_004,0.5568181818181818,2,success,poly,"sdnn, sdsd",880
404,combo_3feat_021,0.5556818181818182,3,success,rbf,"nn_mean, hf_power, ln_hf",880
405,combo_4feat_071,0.5556818181818182,4,success,rbf,"nn_mean, sdnn, hf_power, lf_hf_ratio",880
