subject,accuracy,n_samples
bayu,0.7954545454545454,88
desta,0.5113636363636364,88
dewi,0.5113636363636364,88
esty,0.4318181818181818,88
hilmi,0.7727272727272727,88
irsyad,0.6931818181818182,88
jovita,0.6818181818181818,88
nathan,0.7613636363636364,88
prayogi,0.6704545454545454,88
rizqi,0.6022727272727273,88
