mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__kernel,param_svm__gamma,param_svm__coef0,param_svm__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.05646200180053711,0.019012025501208875,0.008828020095825196,0.002717806520790596,0.01,linear,,,,"{'svm__C': 0.01, 'svm__kernel': 'linear'}",0.6931818181818182,0.3068181818181818,0.6136363636363636,0.45454545454545453,0.5227272727272727,0.5227272727272727,0.7386363636363636,0.4772727272727273,0.48863636363636365,0.625,0.5443181818181818,0.12009487468505821,49
0.05367376804351807,0.015480771811922667,0.006911849975585938,0.0019287728146402828,0.1,linear,,,,"{'svm__C': 0.1, 'svm__kernel': 'linear'}",0.6818181818181818,0.5113636363636364,0.6477272727272727,0.5227272727272727,0.5,0.3977272727272727,0.7386363636363636,0.4431818181818182,0.45454545454545453,0.7159090909090909,0.5613636363636363,0.11712817024295569,43
0.08254711627960205,0.01815584770019137,0.008272624015808106,0.002132721920254618,1.0,linear,,,,"{'svm__C': 1, 'svm__kernel': 'linear'}",0.6818181818181818,0.5,0.7272727272727273,0.6136363636363636,0.5227272727272727,0.3977272727272727,0.7840909090909091,0.4090909090909091,0.4659090909090909,0.7272727272727273,0.5829545454545454,0.13474896310492054,40
0.2560491800308228,0.07322768622694358,0.008108019828796387,0.0027993443141931715,10.0,linear,,,,"{'svm__C': 10, 'svm__kernel': 'linear'}",0.6818181818181818,0.5,0.7272727272727273,0.6022727272727273,0.5113636363636364,0.3977272727272727,0.7840909090909091,0.4318181818181818,0.4772727272727273,0.7386363636363636,0.5852272727272727,0.13264338102191764,38
1.537530517578125,0.2905186501970112,0.005485367774963379,0.0017567076910592495,100.0,linear,,,,"{'svm__C': 100, 'svm__kernel': 'linear'}",0.6818181818181818,0.5,0.7272727272727273,0.5909090909090909,0.5113636363636364,0.3977272727272727,0.7840909090909091,0.4318181818181818,0.4772727272727273,0.7386363636363636,0.5840909090909091,0.13254112101657575,39
0.06313512325286866,0.02248012758311115,0.017696452140808106,0.007206368752875531,0.1,rbf,scale,,,"{'svm__C': 0.1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.6818181818181818,0.25,0.5340909090909091,0.6136363636363636,0.7613636363636364,0.8636363636363636,0.6022727272727273,0.6363636363636364,0.5,0.48863636363636365,0.5931818181818181,0.15891223733103035,30
0.06179370880126953,0.017540822564901717,0.018739938735961914,0.007591657364658788,0.1,rbf,0.01,,,"{'svm__C': 0.1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.5,0.42045454545454547,0.625,0.5,0.5,0.5909090909090909,0.6818181818181818,0.5,0.4090909090909091,0.5909090909090909,0.5318181818181819,0.08347439851003162,55
0.050650620460510255,0.008735861280970383,0.015414166450500488,0.0017273650488767696,0.1,rbf,0.1,,,"{'svm__C': 0.1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.6818181818181818,0.26136363636363635,0.5340909090909091,0.6136363636363636,0.75,0.875,0.625,0.6818181818181818,0.5,0.4431818181818182,0.5965909090909091,0.1630394732410245,29
0.061513519287109374,0.005741701349278577,0.020494794845581053,0.0032263511191268474,0.1,rbf,1,,,"{'svm__C': 0.1, 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.8409090909090909,0.38636363636363635,0.5909090909090909,0.6477272727272727,0.5,0.7954545454545454,0.5909090909090909,0.5,0.6022727272727273,0.42045454545454547,0.5875,0.13964332516974384,35
0.05823676586151123,0.023953118181008405,0.01688079833984375,0.00963433221523161,1.0,rbf,scale,,,"{'svm__C': 1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.8409090909090909,0.4772727272727273,0.5113636363636364,0.7727272727272727,0.7386363636363636,0.9090909090909091,0.6931818181818182,0.6590909090909091,0.5681818181818182,0.6477272727272727,0.6818181818181819,0.13193568430636354,6
0.07535185813903808,0.020075908049743678,0.020260095596313477,0.005078151155097324,1.0,rbf,0.01,,,"{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.75,0.4090909090909091,0.5227272727272727,0.5681818181818182,0.5681818181818182,0.7727272727272727,0.7045454545454546,0.48863636363636365,0.5,0.6022727272727273,0.5886363636363636,0.11349991808348885,34
0.053798508644104,0.007969411523724143,0.01443479061126709,0.0017751791315355108,1.0,rbf,0.1,,,"{'svm__C': 1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.8522727272727273,0.5113636363636364,0.48863636363636365,0.7727272727272727,0.7159090909090909,0.9204545454545454,0.6931818181818182,0.6818181818181818,0.5795454545454546,0.6590909090909091,0.6875000000000001,0.131371696827257,5
0.05578944683074951,0.0060253263023970155,0.011821818351745606,0.001985940072828247,1.0,rbf,1,,,"{'svm__C': 1, 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.7954545454545454,0.5113636363636364,0.5113636363636364,0.6704545454545454,0.7272727272727273,0.9318181818181818,0.6818181818181818,0.48863636363636365,0.6022727272727273,0.4090909090909091,0.6329545454545455,0.15161407755349332,21
