feature,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12,component_13,component_14,component_15,component_16
nn_count,-0.24195442392683883,-0.0317703032548091,-0.35967919389996367,0.26630525596122195,0.14630932521911755,0.08522561202925483,0.011645677009089262,-0.03718346889610442,0.031408738594474704,-0.07582598518878829,0.07182140359430576,-0.003149068077112036,-0.24976051212476036,0.07936243764657874,-0.005820194007704835,0.7889783930080895
nn_mean,0.2142157147241749,0.1050397448664358,0.474053941555831,0.09226282427084258,-0.06409494156939916,0.09621545675285958,0.023774377659403073,0.062689909270544,-0.012772433694103351,-0.04682147519744761,0.062430332918338244,0.11986871909505108,0.32559137924885856,-0.011785152827276258,0.1112548735399656,0.33025455329399495
nn_min,0.05062180574518883,0.18840020347966097,0.5949843246338603,0.07954935389488768,0.09163268714046631,0.07825443359477545,0.05084880984179273,-0.06571852430775514,0.07510510889597713,-0.05608382640351072,-0.004835358857524621,-0.04441887299756303,-0.2984633392660646,0.045902229354020434,-0.07917093055844425,0.12405227509072242
nn_max,0.30107946449680406,0.07063799725170147,0.289845081177605,-0.054095827424332596,-0.07813036325299481,0.0005461741788164992,-0.043388405296223,0.05972899624113531,-0.06114102428828155,-0.0489079916397652,0.014679353633029805,-0.04633451194393472,0.0005888247729752718,-0.03808018691166854,-0.0278179661333538,0.29791629947809295
sdnn,0.28783577292739365,-0.11660176934350788,-0.1681921586139082,-0.19071294037444678,-0.2258122810842803,-0.0966933501656998,-0.09474957716428745,0.12372474582306056,-0.19272560645679868,-0.007625152607185179,0.14384118164252688,0.08693696722213913,0.145020378722168,-0.07402891070766779,0.038461917942263314,0.10526957924270662
sdsd,0.3049267957691043,0.08353020387322282,-0.10254737444762675,-0.26553588284883245,0.11302663224939734,-0.04157134009713964,-0.03427601418945169,-0.016315608894071663,0.04812303525253038,0.014842025097907876,-0.06995277051884147,-0.20189225376441433,-0.23238673222155803,0.03342239849640885,-0.01633280932374282,0.05743598242103271
rmssd,0.3039375985522479,0.08237692827984434,-0.10688072017975293,-0.2743845545085285,0.09274103769125315,-0.049060190304728114,-0.048746949314553256,-0.010836482182283743,0.024936812231892348,0.02358033902671476,-0.06921765471361496,-0.20941676299605605,-0.2234813553817868,0.024227308584482268,-0.043340606643588346,0.049276374166743124
pnn20,0.25891084387109947,0.11906511589272097,-0.11108682012517285,0.18525275430089627,0.2906461447985248,0.13903751678844636,0.05828222119542249,-0.22953928251566075,-0.22279124163887104,0.09510598930571659,-0.13591547677860796,0.46095641814368027,-0.1145333710964295,-0.5819185598336317,-0.25781945695217745,-0.057884816323189925
pnn50,0.28156478139777824,0.09068856290919455,-0.13506452397675112,0.11995004903104843,0.19534582002156622,0.2121087546925783,0.10837593089093295,-0.15432624267893738,-0.1203339760570462,0.11087474870994724,-0.26244707005720924,0.26988969612790353,0.20026068412088988,0.7329220529845015,-0.012026462315555559,-0.050775605493156954
triangular_index,0.14650990671931483,-0.1824365349203159,-0.02971738182386576,0.1391580801785372,-0.29867571981696345,0.17471698700472285,0.6935604760805943,-0.3171647440588501,-0.1301995318023161,0.23615095525185312,0.15722645284564157,-0.34522242825878113,-0.041236971409052865,-0.06269600202634573,0.03460617559013732,-0.0062222171394536565
