feature,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12,component_13,component_14,component_15,component_16
lf_power,0.2366360802152582,-0.1842820241338207,-0.018714385117944217,0.2436332002439835,0.22367007893029064,0.11962527960018743,-0.06230136560830789,0.17799529700054723,0.18436134207890725,-0.12293656656152732,0.6989144173517193,-0.007352436880692971,-0.08894588405743337,0.15622369447464493,-0.36443907722171104,-0.20111310488110265
hf_power,0.22395124635481797,0.12343633963389242,-0.1947863256164008,0.3051278204604734,-0.014449830496866732,0.08013596790150604,-0.0011424557422669737,0.06801219968373391,0.4767592362744999,-0.2207616079202035,-0.3089552148793478,-0.3524690477577366,0.44043263370265145,-0.2041480809716914,-0.17038325077672467,0.02367146629899314
lf_hf_ratio,0.04600033366820011,-0.3085809992314568,0.028935041898837298,-0.3052134945096358,0.20764053036870053,-0.12163564230143355,0.44576568333532574,-0.045390816755920195,0.501227651554133,-0.28968511196121227,-0.019347174451769634,0.38710440633726806,-0.008662062321987797,-0.043890089142865144,0.2337158201427185,0.041336619404264766
lf_norm,0.03237903372800864,-0.4364537062078036,0.1088898002252801,0.062236361539343456,0.36227206992296945,0.06993277127340625,-0.08274565836024322,0.07950592767979388,-0.20593085087000232,0.013048981933703852,-0.13230557791793662,-0.21390906566310655,0.07885683423946095,-0.06426589652930573,0.1600282155238402,0.0039412527768324344
hf_norm,-0.03237903372800863,0.43645370620780366,-0.10888980022528011,-0.062236361539343456,-0.36227206992296956,-0.0699327712734062,0.08274565836024302,-0.07950592767979407,0.2059308508700019,-0.013048981933704094,0.1323055779179369,0.21390906566310644,-0.0788568342394603,0.06426589652930693,-0.16002821552383817,-0.003941252776832766
ln_hf,0.233511019172447,0.19144649401209662,-0.10614883821461703,0.38811748974758964,-0.049764357167282613,0.06750731847044916,-0.1470919875748961,0.012982285089665507,0.0963278187986511,-0.05523026622815109,0.11367623972570841,0.031754841863580255,-0.25412868749724277,-0.06065751552509932,0.7662543918587003,-0.1840623165141882
lf_peak,0.03223316807509331,0.20664114262294372,-0.022382650875025164,0.22414209355426426,0.16936046532482932,-0.49919076664013723,0.42876281760915746,0.6220210897293572,-0.16452246807187643,0.13161673578955285,-0.0888426477401969,-0.0009355444906675248,-0.054045377130629575,0.02422020318775421,-0.02713811722142503,-0.015324741135034032
hf_peak,-0.09220725209163023,0.05839902258110895,-0.05874898407849872,-0.2092686347036494,-0.10591736654251727,0.7429607270915963,0.14781610841413556,0.5595336623793956,-0.020435286888496978,-0.04126736031884311,-0.11498777645478467,0.05809080794565372,-0.13127070612285696,-0.06665096114505957,0.011820848784946847,-0.04582473697854031
sd1,0.30492679576910436,0.08353020387322288,-0.10254737444762652,-0.2655358828488324,0.11302663224939752,-0.04157134009713958,-0.03427601418945177,-0.0163156088940717,0.04812303525253007,0.01484202509790811,-0.06995277051884248,-0.20189225376441441,-0.2323867322215566,0.033422398496408746,-0.016332809323741437,0.05743598242103515
sd2,0.2753737277317475,-0.1809613384076063,-0.16807008300828363,-0.07462053084568482,-0.2640585858746274,-0.0708757259085166,-0.06646860265551437,0.14451383840237314,-0.2050360607683498,-0.07762552260976371,0.1634158809706156,0.20046502755683568,0.20429315205955714,-0.04845092241936236,0.07431016449896098,0.20552663027403695
sd1_sd2_ratio,-0.10484424009821874,0.3196284782570456,-0.06027700440736777,-0.26133005675020643,0.38513530659960726,0.10073146719011616,0.025966029840031202,-0.020356598644204624,0.13564178657034948,0.5110640969702067,0.36107235514309566,-0.07271267741677542,0.373991901842877,-0.12081922936584141,0.20425154939729262,0.10759717618009187
dfa,0.11016436330506395,-0.3381981201932359,0.07571885448495941,0.13665342397953464,-0.21617620045153663,-0.03281452486473771,-0.19042125536369572,0.14587278309383056,0.41409073859762363,0.6862686968990589,-0.18147029050957267,0.16899065837066904,-0.1669744309589961,0.006898875618365348,-0.0767601628920825,0.0738114923302268
