subject,sample_idx,true_label,predicted_label,correct,decision_score
bayu,0,lie,lie,True,0.5719427838216585
bayu,1,lie,lie,True,0.6636013214805484
bayu,2,lie,lie,True,0.9356285652318237
bayu,3,lie,lie,True,0.28160574461529525
bayu,4,lie,truth,False,-0.23291827945696447
bayu,5,lie,truth,False,-0.05608029118183981
bayu,6,lie,truth,False,-0.009204592774983686
bayu,7,lie,lie,True,0.3602853665750552
bayu,8,lie,lie,True,0.44048150121841917
bayu,9,lie,lie,True,0.7140192280742931
bayu,10,lie,lie,True,0.09313654703634307
bayu,11,truth,truth,True,-2.069188395944887
bayu,12,truth,truth,True,-1.427007463994736
bayu,13,truth,truth,True,-0.9624278438532915
bayu,14,truth,truth,True,-0.3824152901729851
bayu,15,truth,truth,True,-0.6824081398014746
bayu,16,truth,truth,True,-1.3039028314264118
bayu,17,truth,truth,True,-1.7925720359564805
bayu,18,truth,truth,True,-1.4407807684048943
bayu,19,truth,truth,True,-0.5745079010802778
bayu,20,truth,truth,True,-0.6198407029981877
bayu,21,truth,lie,False,0.22323793700971134
bayu,22,lie,lie,True,1.0220934730619755
bayu,23,lie,lie,True,0.9696818949194898
bayu,24,lie,lie,True,0.9704724639195984
bayu,25,lie,truth,False,-0.11137898770097225
bayu,26,lie,truth,False,-0.38694434557464424
bayu,27,lie,lie,True,0.06930418459029293
bayu,28,lie,lie,True,0.43535036086479567
bayu,29,lie,lie,True,1.0633360528290003
bayu,30,lie,lie,True,0.6884325490099744
bayu,31,lie,lie,True,0.34687778302686306
bayu,32,lie,lie,True,0.013957773613636662
bayu,33,truth,truth,True,-1.8887167707495953
bayu,34,truth,truth,True,-2.3997947405304734
bayu,35,truth,truth,True,-2.563121688953998
bayu,36,truth,truth,True,-2.5746142983301055
bayu,37,truth,truth,True,-2.3750798998269627
bayu,38,truth,truth,True,-2.454310262597253
bayu,39,truth,truth,True,-2.578131540819629
bayu,40,truth,truth,True,-3.027763867101325
bayu,41,truth,truth,True,-3.194514998993654
bayu,42,truth,truth,True,-3.6555600030875315
bayu,43,truth,truth,True,-3.7175645948575964
bayu,44,lie,lie,True,1.0109011558801626
bayu,45,lie,lie,True,0.39162073560009986
bayu,46,lie,lie,True,0.39052355456328863
bayu,47,lie,lie,True,1.4023187144229445
bayu,48,lie,lie,True,1.287075544812903
bayu,49,lie,lie,True,1.0598129695898666
bayu,50,lie,lie,True,0.5968580707702335
bayu,51,lie,lie,True,0.7387918776052046
bayu,52,lie,lie,True,0.7877152597043572
bayu,53,lie,lie,True,0.8789701398648521
bayu,54,lie,lie,True,0.9006157169228685
bayu,55,truth,lie,False,0.4145221936448205
bayu,56,truth,truth,True,-0.33259598223024683
bayu,57,truth,truth,True,-0.464811160951311
bayu,58,truth,truth,True,-0.8496294065938911
bayu,59,truth,truth,True,-0.6659361510121798
bayu,60,truth,truth,True,-0.3497293661845719
bayu,61,truth,truth,True,-0.48066553979213505
bayu,62,truth,truth,True,-1.0886402571602236
bayu,63,truth,truth,True,-2.098096069792446
bayu,64,truth,truth,True,-0.1530811459791525
bayu,65,truth,lie,False,0.4731702647055523
bayu,66,lie,lie,True,0.9928150142106965
bayu,67,lie,lie,True,1.2107018540315524
bayu,68,lie,lie,True,1.9089093673941402
bayu,69,lie,lie,True,1.6766211243570224
bayu,70,lie,lie,True,1.7112485507762902
bayu,71,lie,lie,True,1.3961606721413409
bayu,72,lie,lie,True,1.3793581682019973
bayu,73,lie,lie,True,1.3942372955654307
bayu,74,lie,lie,True,1.2659129330464538
bayu,75,lie,lie,True,0.913880401858923
bayu,76,lie,lie,True,0.7667314755431871
bayu,77,truth,lie,False,0.32411900018576556
bayu,78,truth,lie,False,0.431906604275325
bayu,79,truth,lie,False,0.32866546343855557
bayu,80,truth,lie,False,0.6794196971835843
bayu,81,truth,lie,False,0.636389419662385
bayu,82,truth,lie,False,0.5931700253380842
bayu,83,truth,truth,True,-0.2776685716687142
bayu,84,truth,truth,True,-0.20010233510583725
bayu,85,truth,truth,True,-0.33495326118099217
bayu,86,truth,truth,True,-0.1444685919929673
bayu,87,truth,lie,False,0.45204535526580597
desta,0,lie,truth,False,-2.58302748939213
desta,1,lie,truth,False,-0.7873815830758905
desta,2,lie,truth,False,-0.7663501399109679
desta,3,lie,truth,False,-0.6148575445583578
desta,4,lie,truth,False,-0.6274176155442822
desta,5,lie,truth,False,-1.9663000368443955
desta,6,lie,truth,False,-1.5200803664829403
desta,7,lie,truth,False,-1.048504765948037
desta,8,lie,truth,False,-0.9776063977378339
desta,9,lie,truth,False,-0.5289230432197775
desta,10,lie,truth,False,-0.45276142729137875
desta,11,truth,truth,True,-0.06887499436794284
desta,12,truth,lie,False,0.14041934898380673
desta,13,truth,truth,True,-0.37771181587366437
desta,14,truth,lie,False,0.31943641239183446
desta,15,truth,lie,False,0.22076881174798216
desta,16,truth,lie,False,0.08640017566258132
desta,17,truth,lie,False,0.10338012664636867
desta,18,truth,truth,True,-0.6949938086500979
desta,19,truth,truth,True,-0.289143103129383
desta,20,truth,lie,False,0.3808279015391373
desta,21,truth,lie,False,0.8603138669025657
desta,22,lie,lie,True,1.974139811004176
desta,23,lie,lie,True,3.175198506305506
desta,24,lie,lie,True,3.6485718018554922
desta,25,lie,lie,True,3.5780282420272584
desta,26,lie,lie,True,1.7617526744212801
desta,27,lie,lie,True,0.0008034002302745105
desta,28,lie,truth,False,-0.24655048732760285
desta,29,lie,lie,True,1.2901404817912705
desta,30,lie,lie,True,3.126931536239643
desta,31,lie,lie,True,3.8913371127166334
desta,32,lie,lie,True,6.9162347037867775
desta,33,truth,truth,True,-1.082623530784941
desta,34,truth,truth,True,-1.569173625708457
desta,35,truth,truth,True,-1.3714575571165133
desta,36,truth,truth,True,-1.6531909795216873
desta,37,truth,truth,True,-3.3722810744505436
desta,38,truth,truth,True,-2.1580238330050117
desta,39,truth,truth,True,-1.7708278316090724
desta,40,truth,truth,True,-1.5704606314454999
desta,41,truth,truth,True,-0.6842954576243409
desta,42,truth,truth,True,-0.6675283176912424
desta,43,truth,truth,True,-0.0897341647503401
desta,44,lie,lie,True,0.5121361023123764
desta,45,lie,truth,False,-0.08167640124928074
desta,46,lie,truth,False,-0.8270945945724143
desta,47,lie,truth,False,-1.390252264378356
desta,48,lie,truth,False,-0.9629657049852899
desta,49,lie,truth,False,-0.8980132964245314
desta,50,lie,truth,False,-0.3869977022831948
desta,51,lie,truth,False,-0.060350946360535916
desta,52,lie,lie,True,0.3072644512570643
desta,53,lie,lie,True,0.26959848166101547
desta,54,lie,truth,False,-0.04477482376784455
desta,55,truth,lie,False,0.20755273135292737
desta,56,truth,lie,False,0.9653029138695224
desta,57,truth,lie,False,0.8276466940485793
desta,58,truth,lie,False,0.843737478206482
desta,59,truth,truth,True,-0.32616765716382107
desta,60,truth,truth,True,-0.2556451909333141
desta,61,truth,lie,False,0.13441959966293007
desta,62,truth,lie,False,0.13957693288015685
desta,63,truth,lie,False,0.8284100503142885
desta,64,truth,lie,False,0.41485114973569764
desta,65,truth,truth,True,-0.7360230704203777
desta,66,lie,lie,True,0.4779559152630423
desta,67,lie,lie,True,0.6758768957759631
desta,68,lie,lie,True,0.3391844277657646
desta,69,lie,lie,True,0.3967758908976769
desta,70,lie,lie,True,0.3687370057037122
desta,71,lie,lie,True,0.2961320870471668
desta,72,lie,lie,True,0.5676197129544945
desta,73,lie,lie,True,0.563603537230404
desta,74,lie,lie,True,0.17067574864957505
desta,75,lie,lie,True,0.008222735817346484
desta,76,lie,lie,True,0.1581300849114801
desta,77,truth,lie,False,0.09082469883791014
desta,78,truth,lie,False,0.21592896302595746
desta,79,truth,lie,False,0.09782258346545528
desta,80,truth,truth,True,-0.6216973376386827
desta,81,truth,truth,True,-0.9271449071025578
desta,82,truth,truth,True,-0.21708805996358102
desta,83,truth,truth,True,-1.0650082316170233
desta,84,truth,truth,True,-1.1150560423777365
desta,85,truth,truth,True,-1.411305237910113
desta,86,truth,truth,True,-1.2554871064948674
desta,87,truth,truth,True,-1.5058904968181186
dewi,0,lie,lie,True,5.164589596807308
dewi,1,lie,lie,True,5.346405375191451
dewi,2,lie,lie,True,5.3419242193100125
dewi,3,lie,lie,True,5.3715123950418855
dewi,4,lie,lie,True,5.2096987638024945
dewi,5,lie,lie,True,5.2787932887314435
dewi,6,lie,lie,True,4.506260560646654
dewi,7,lie,lie,True,4.942590463150317
dewi,8,lie,lie,True,3.474941876053265
dewi,9,lie,lie,True,3.268927576692576
dewi,10,lie,lie,True,3.0296925525303173
dewi,11,truth,lie,False,1.4543366543317895
dewi,12,truth,lie,False,1.3104081715662896
dewi,13,truth,lie,False,2.802827836093905
dewi,14,truth,lie,False,2.8839288979174307
dewi,15,truth,lie,False,3.3360447821324084
dewi,16,truth,lie,False,2.454161773938221
dewi,17,truth,lie,False,3.0798388354256416
dewi,18,truth,lie,False,3.0542311014978805
dewi,19,truth,lie,False,1.785223433302003
dewi,20,truth,lie,False,1.900118515209801
dewi,21,truth,lie,False,2.124841128622354
dewi,22,lie,lie,True,3.1189442767072
dewi,23,lie,lie,True,3.2734305428932124
dewi,24,lie,lie,True,2.6897607597776383
dewi,25,lie,lie,True,2.9882550313299605
dewi,26,lie,lie,True,2.9566804121614854
dewi,27,lie,lie,True,3.053196780152977
dewi,28,lie,lie,True,3.1053900344183454
dewi,29,lie,lie,True,3.1113055749343035
dewi,30,lie,lie,True,2.5961664237967756
dewi,31,lie,lie,True,2.69533727239199
dewi,32,lie,lie,True,2.8644082549455216
dewi,33,truth,lie,False,1.994762427706338
dewi,34,truth,lie,False,2.312181761539472
dewi,35,truth,lie,False,1.566275570255808
dewi,36,truth,lie,False,2.1682219977619277
dewi,37,truth,lie,False,2.2763115625426162
dewi,38,truth,lie,False,1.3032271893711558
dewi,39,truth,lie,False,1.4019902223147962
dewi,40,truth,lie,False,1.9035967529862514
dewi,41,truth,lie,False,1.9886147520435493
dewi,42,truth,lie,False,0.5310116086141157
dewi,43,truth,lie,False,1.0598335292537993
