subject,sample_idx,true_label,predicted_label,correct,decision_score
bayu,73,lie,lie,True,0.21671380867934237
bayu,74,lie,lie,True,0.6563758485751643
bayu,75,lie,lie,True,0.3778011528699617
bayu,76,lie,lie,True,0.4220603935707697
bayu,77,truth,truth,True,-0.10267438079802255
bayu,78,truth,lie,False,0.45204908005762273
bayu,79,truth,lie,False,0.2006289659007015
bayu,80,truth,lie,False,0.059964273173226446
bayu,81,truth,truth,True,-0.20749599792020285
bayu,82,truth,truth,True,-0.4798596382984794
bayu,83,truth,truth,True,-0.6923982195684906
bayu,84,truth,truth,True,-1.0522686778143762
bayu,85,truth,truth,True,-1.239279068107601
bayu,86,truth,truth,True,-1.1788340856088302
bayu,87,truth,truth,True,-0.7304713526240196
desta,0,lie,truth,False,-0.37068440708551914
desta,1,lie,lie,True,0.29804755773820063
desta,2,lie,truth,False,-0.2895295581128416
desta,3,lie,truth,False,-0.22396722646234796
desta,4,lie,truth,False,-0.26410477772786306
desta,5,lie,truth,False,-0.6141421236659526
desta,6,lie,truth,False,-0.9965836867276122
desta,7,lie,truth,False,-0.7249072567517136
desta,8,lie,truth,False,-0.8020176509453918
desta,9,lie,truth,False,-0.7003943044678643
desta,10,lie,truth,False,-0.7203652581115558
desta,11,truth,truth,True,-0.5425566790290661
desta,12,truth,truth,True,-0.5556238868067608
desta,13,truth,truth,True,-0.7923781900391041
desta,14,truth,truth,True,-1.0975820381184012
desta,15,truth,truth,True,-0.8876201772255365
desta,16,truth,truth,True,-0.5007086749835583
desta,17,truth,truth,True,-0.9101948080101507
desta,18,truth,truth,True,-1.156231623519506
desta,19,truth,truth,True,-0.8123412449366394
desta,20,truth,truth,True,-0.6871214900741358
desta,21,truth,truth,True,-0.6442117460395328
desta,22,lie,lie,True,0.63038251518161
desta,23,lie,lie,True,0.5265692219298932
desta,24,lie,lie,True,0.5134962653647099
desta,25,lie,lie,True,1.3772132048286871
desta,26,lie,lie,True,0.18884105716217608
desta,27,lie,truth,False,-0.12762646566633312
desta,28,lie,truth,False,-0.6203808803212667
desta,29,lie,truth,False,-0.4904197500819006
desta,30,lie,lie,True,0.14827913255856945
desta,31,lie,lie,True,0.582527437396994
desta,32,lie,lie,True,0.8915044814130668
desta,33,truth,truth,True,-1.472635330195137
desta,34,truth,truth,True,-1.4891817490353307
desta,35,truth,truth,True,-1.2579280642790491
desta,36,truth,truth,True,-1.308651665925913
desta,37,truth,truth,True,-1.7748564583126034
desta,38,truth,truth,True,-1.4191878271159184
desta,39,truth,truth,True,-1.0331375656238464
desta,40,truth,truth,True,-1.0041659047034008
desta,41,truth,truth,True,-0.8466760332383954
desta,42,truth,truth,True,-0.8014851613956055
desta,43,truth,truth,True,-0.4050647866381348
desta,44,lie,lie,True,0.470361715205356
desta,45,lie,lie,True,0.0496457854879024
desta,46,lie,truth,False,-0.33627689638525565
desta,47,lie,truth,False,-0.8875919820002365
desta,48,lie,truth,False,-1.1172183055728733
desta,49,lie,truth,False,-0.9761744756775508
desta,50,lie,truth,False,-0.44616073489204694
desta,51,lie,truth,False,-0.06945619102399862
desta,52,lie,lie,True,0.2513738458683367
desta,53,lie,truth,False,-0.03840286360247473
desta,54,lie,truth,False,-0.4089354640725192
desta,55,truth,truth,True,-1.7070207418113117
desta,56,truth,truth,True,-0.5002671161724899
desta,57,truth,truth,True,-0.545350395367771
desta,58,truth,truth,True,-0.41904630514431745
desta,59,truth,truth,True,-1.1357877403776238
desta,60,truth,truth,True,-1.2671278110341015
desta,61,truth,truth,True,-1.6280159890815635
desta,62,truth,truth,True,-1.780185889596938
desta,63,truth,truth,True,-0.942122537411695
desta,64,truth,truth,True,-0.7998135483707185
desta,65,truth,truth,True,-1.0002530081451948
desta,66,lie,lie,True,1.084135067005554
desta,67,lie,lie,True,0.4424636604213374
desta,68,lie,lie,True,0.5789110510720608
desta,69,lie,lie,True,0.7571907052074469
desta,70,lie,lie,True,0.46149014072407074
desta,71,lie,lie,True,0.91625656793065
desta,72,lie,lie,True,0.8920581973958035
desta,73,lie,lie,True,0.9548237509628192
desta,74,lie,lie,True,0.1721531474923254
desta,75,lie,lie,True,0.05061896495714287
desta,76,lie,lie,True,0.19529223503655196
desta,77,truth,truth,True,-0.3624436782019443
desta,78,truth,truth,True,-0.28272103970010726
