timestamp,heart_rate
2024-10-31 12:36:48,97
2024-10-31 12:36:49,98
2024-10-31 12:36:50,99
2024-10-31 12:36:51,100
2024-10-31 12:36:52,100
2024-10-31 12:36:53,100
2024-10-31 12:36:54,99
2024-10-31 12:36:55,99
2024-10-31 12:36:56,98
2024-10-31 12:36:57,98
2024-10-31 12:36:58,98
2024-10-31 12:36:59,98
2024-10-31 12:37:00,98
2024-10-31 12:37:01,98
2024-10-31 12:37:02,97
2024-10-31 12:37:03,97
2024-10-31 12:37:04,97
2024-10-31 12:37:05,96
2024-10-31 12:37:06,97
2024-10-31 12:37:07,97
2024-10-31 12:37:08,98
2024-10-31 12:37:09,99
2024-10-31 12:37:10,99
2024-10-31 12:37:11,98
2024-10-31 12:37:12,98
2024-10-31 12:37:13,98
2024-10-31 12:37:14,98
2024-10-31 12:37:15,98
2024-10-31 12:37:16,98
2024-10-31 12:37:17,98
2024-10-31 12:37:18,99
2024-10-31 12:37:19,99
2024-10-31 12:37:20,100
2024-10-31 12:37:21,101
2024-10-31 12:37:22,101
2024-10-31 12:37:23,102
2024-10-31 12:37:24,103
2024-10-31 12:37:25,104
2024-10-31 12:37:26,105
2024-10-31 12:37:27,106
2024-10-31 12:37:28,107
2024-10-31 12:37:29,107
2024-10-31 12:37:30,106
2024-10-31 12:37:31,106
2024-10-31 12:37:32,104
2024-10-31 12:37:33,103
2024-10-31 12:37:34,102
2024-10-31 12:37:35,101
2024-10-31 12:37:36,101
2024-10-31 12:37:37,100
2024-10-31 12:37:38,100
2024-10-31 12:37:39,100
2024-10-31 12:37:40,99
2024-10-31 12:37:41,99
2024-10-31 12:37:42,100
2024-10-31 12:37:43,100
2024-10-31 12:37:44,101
2024-10-31 12:37:45,102
2024-10-31 12:37:46,104
2024-10-31 12:37:47,104
2024-10-31 12:37:48,106
2024-10-31 12:37:49,107
2024-10-31 12:37:50,108
2024-10-31 12:37:51,108
2024-10-31 12:37:52,108
2024-10-31 12:37:53,107
2024-10-31 12:37:54,106
2024-10-31 12:37:55,106
2024-10-31 12:37:56,104
2024-10-31 12:37:57,103
2024-10-31 12:37:58,101
2024-10-31 12:37:59,100
2024-10-31 12:38:00,99
2024-10-31 12:38:01,98
2024-10-31 12:38:02,97
2024-10-31 12:38:03,97
2024-10-31 12:38:04,97
2024-10-31 12:38:05,95
2024-10-31 12:38:06,94
2024-10-31 12:38:07,94
2024-10-31 12:38:08,93
2024-10-31 12:38:09,93
2024-10-31 12:38:10,94
2024-10-31 12:38:11,94
2024-10-31 12:38:12,94
2024-10-31 12:38:13,94
2024-10-31 12:38:14,95
2024-10-31 12:38:15,95
2024-10-31 12:38:16,95
2024-10-31 12:38:17,96
