timestamp,heart_rate
2024-10-23 11:20:40,92
2024-10-23 11:20:41,93
2024-10-23 11:20:42,94
2024-10-23 11:20:43,95
2024-10-23 11:20:44,96
2024-10-23 11:20:45,97
2024-10-23 11:20:46,98
2024-10-23 11:20:47,99
2024-10-23 11:20:48,99
2024-10-23 11:20:49,98
2024-10-23 11:20:50,98
2024-10-23 11:20:51,97
2024-10-23 11:20:52,96
2024-10-23 11:20:53,95
2024-10-23 11:20:54,94
2024-10-23 11:20:55,94
2024-10-23 11:20:56,93
2024-10-23 11:20:57,93
2024-10-23 11:20:58,93
2024-10-23 11:20:59,93
2024-10-23 11:21:00,91
2024-10-23 11:21:01,91
2024-10-23 11:21:02,90
2024-10-23 11:21:03,90
2024-10-23 11:21:04,90
2024-10-23 11:21:05,91
2024-10-23 11:21:06,91
2024-10-23 11:21:07,92
2024-10-23 11:21:08,92
2024-10-23 11:21:09,92
2024-10-23 11:21:10,92
2024-10-23 11:21:11,93
2024-10-23 11:21:12,94
2024-10-23 11:21:13,96
2024-10-23 11:21:14,97
2024-10-23 11:21:15,97
2024-10-23 11:21:16,97
2024-10-23 11:21:17,97
2024-10-23 11:21:18,98
2024-10-23 11:21:19,98
2024-10-23 11:21:20,99
2024-10-23 11:21:21,99
2024-10-23 11:21:22,99
2024-10-23 11:21:23,99
2024-10-23 11:21:24,99
2024-10-23 11:21:25,98
2024-10-23 11:21:26,97
2024-10-23 11:21:27,96
2024-10-23 11:21:28,95
2024-10-23 11:21:29,94
2024-10-23 11:21:30,94
2024-10-23 11:21:31,93
2024-10-23 11:21:32,93
2024-10-23 11:21:33,92
2024-10-23 11:21:34,92
2024-10-23 11:21:35,92
2024-10-23 11:21:36,92
2024-10-23 11:21:37,92
2024-10-23 11:21:38,93
2024-10-23 11:21:39,93
2024-10-23 11:21:40,94
2024-10-23 11:21:41,95
2024-10-23 11:21:42,95
2024-10-23 11:21:43,96
2024-10-23 11:21:44,96
2024-10-23 11:21:45,96
2024-10-23 11:21:46,97
2024-10-23 11:21:47,98
2024-10-23 11:21:48,98
2024-10-23 11:21:49,98
2024-10-23 11:21:50,98
2024-10-23 11:21:51,98
2024-10-23 11:21:52,98
2024-10-23 11:21:53,98
2024-10-23 11:21:54,99
2024-10-23 11:21:55,100
2024-10-23 11:21:56,101
2024-10-23 11:21:57,101
2024-10-23 11:21:58,102
2024-10-23 11:21:59,103
2024-10-23 11:22:00,104
2024-10-23 11:22:01,104
2024-10-23 11:22:02,104
2024-10-23 11:22:03,104
2024-10-23 11:22:04,103
2024-10-23 11:22:05,103
2024-10-23 11:22:06,102
2024-10-23 11:22:07,101
2024-10-23 11:22:08,101
2024-10-23 11:22:09,100
2024-10-23 11:22:10,101
2024-10-23 11:22:11,101
2024-10-23 11:22:12,101
2024-10-23 11:22:13,101
2024-10-23 11:22:14,102
2024-10-23 11:22:15,103
2024-10-23 11:22:16,102
2024-10-23 11:22:17,101
2024-10-23 11:22:18,101
2024-10-23 11:22:19,101
2024-10-23 11:22:20,101
2024-10-23 11:22:21,101
2024-10-23 11:22:22,101
2024-10-23 11:22:23,102
2024-10-23 11:22:24,102
2024-10-23 11:22:25,102
2024-10-23 11:22:26,102
2024-10-23 11:22:27,101
2024-10-23 11:22:28,101
2024-10-23 11:22:29,101
2024-10-23 11:22:30,100
2024-10-23 11:22:31,100
2024-10-23 11:22:32,100
2024-10-23 11:22:33,100
2024-10-23 11:22:34,99
2024-10-23 11:22:35,98
2024-10-23 11:22:36,96
2024-10-23 11:22:37,95
2024-10-23 11:22:38,94
2024-10-23 11:22:39,93
2024-10-23 11:22:40,93
2024-10-23 11:22:41,93
2024-10-23 11:22:42,93
