subject,accuracy,n_samples
nathan,0.8068181818181818,88
irsyad,0.7954545454545454,88
rizqi,0.7386363636363636,88
hilmi,0.6818181818181818,88
desta,0.6704545454545454,88
bayu,0.6590909090909091,88
prayogi,0.6477272727272727,88
dewi,0.5681818181818182,88
esty,0.5681818181818182,88
jovita,0.5227272727272727,88
