subject,accuracy,n_samples
nathan,0.7954545454545454,88
irsyad,0.7727272727272727,88
bayu,0.6818181818181818,88
desta,0.6704545454545454,88
esty,0.6590909090909091,88
rizqi,0.6477272727272727,88
hilmi,0.5681818181818182,88
dewi,0.5568181818181818,88
jovita,0.5454545454545454,88
prayogi,0.4772727272727273,88
