nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,window_start,window_end,window_number
37,847.8303020224512,764.1470000000083,1018.8630000000032,48.06789882293953,37.10841670381392,36.603350188005095,44.44444444444444,13.88888888888889,5.285714285714286,58.101961,88.101961,1
36,844.5955604119633,764.1470000000083,1018.8630000000032,49.31832746883377,37.353088568293856,36.9949957853327,45.714285714285715,14.285714285714285,5.142857142857143,59.101961,89.101961,2
36,842.574004856408,764.1470000000083,1018.8630000000032,48.04869537734783,33.43944469248936,33.365703430099366,45.714285714285715,14.285714285714285,5.142857142857143,60.101961,90.101961,3
36,837.0147270786301,764.1470000000083,939.689062069771,37.48594914302324,30.969114969633218,30.71852162416794,42.857142857142854,11.428571428571429,4.5,61.101961,91.101961,4
37,833.2513543989438,764.1470000000083,891.5049999999951,32.82297779518585,27.170231143974785,26.809270420039706,38.88888888888889,8.333333333333332,3.7,62.101961,92.101961,5
37,830.7927057502948,764.1469999999941,891.5049999999951,34.5036895934231,28.380920526888403,28.147776892863178,41.66666666666667,11.11111111111111,3.7,63.101961,93.101961,6
37,828.3340841286732,764.1469999999941,891.5049999999951,34.630659437858725,28.38094189618591,28.147794848193165,41.66666666666667,11.11111111111111,3.7,64.101961,94.101961,7
37,826.3671652097546,764.1469999999941,891.5049999999951,32.96998684388252,28.999020107589985,28.63359007130504,44.44444444444444,11.11111111111111,3.3636363636363638,65.101961,95.101961,8
36,826.0739197989142,764.1469999999941,891.5049999999951,32.81725127574752,28.450200325639624,28.045641531707055,45.714285714285715,8.571428571428571,3.6,66.101961,96.101961,9
37,826.8588949394841,764.1469999999941,891.5049999999951,32.70862215207228,28.213733009373808,27.819115910434984,44.44444444444444,8.333333333333332,3.7,67.101961,97.101961,10
37,827.3506246692141,764.1469999999941,891.5049999999951,32.999591929872985,27.701544790924682,27.318767200801016,41.66666666666667,8.333333333333332,3.7,68.101961,98.101961,11
