nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,window_start,window_end,window_number
37,795.4711325971138,691.3759999999911,1037.0649999999982,71.73283905654392,62.62029556779163,62.41100305883686,63.888888888888886,38.88888888888889,7.4,58.830416,88.830416,1
37,788.0951325971135,691.3759999999911,927.9000000000082,59.12365500436853,57.584639234078374,56.860134268748425,63.888888888888886,38.88888888888889,7.4,59.830416,89.830416,2
37,779.5475593829964,691.3759999999911,927.9000000000082,59.69444242067267,58.38664234325108,57.62975778993385,61.111111111111114,41.66666666666667,7.4,60.830416,90.830416,3
37,779.8248071647638,691.3759999999911,927.9000000000082,59.83492479226922,60.67888023780508,59.84638315869226,61.111111111111114,44.44444444444444,7.4,61.830416,91.830416,4
36,784.8086629193408,691.3759999999911,927.9000000000082,65.34058250981823,61.79779146944795,60.92853002970046,62.857142857142854,45.714285714285715,7.2,62.830416,92.830416,5
37,788.4894545215142,691.3759999999911,927.9000000000082,67.98733076444239,60.56516996228149,59.72213162422616,61.111111111111114,41.66666666666667,7.4,63.830416,93.830416,6
37,788.2181365024263,691.3759999999911,927.9000000000082,67.4333025322963,56.57522442973673,55.87903478835894,58.333333333333336,38.88888888888889,7.4,64.830416,94.830416,7
37,792.2198160537969,691.3759999999911,948.603143400707,72.39552063265653,55.86561943992122,55.3711106453675,58.333333333333336,36.11111111111111,7.4,65.830416,95.830416,8
37,798.6123565943376,691.3759999999911,982.4820000000045,78.39139061870124,54.897575695914895,54.320510087793984,58.333333333333336,33.33333333333333,7.4,66.830416,96.830416,9
37,801.0710322700133,691.3759999999911,982.4820000000045,81.1228610564516,58.56528698887593,57.76605231740281,61.111111111111114,36.11111111111111,7.4,67.830416,97.830416,10
37,805.496626864608,691.3759999999911,982.4820000000045,82.48781246175427,61.249183122486464,60.56355753259154,63.888888888888886,38.88888888888889,7.4,68.830416,98.830416,11
