nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,window_start,window_end,window_number
45,605.2529000616729,545.8909999999975,673.2650000000007,30.60265050715291,33.80151607859112,33.41596981360957,43.18181818181818,15.909090909090908,4.5,58.51505,88.51505,1
47,605.8240958037294,545.8909999999975,673.2650000000007,30.055022868796442,33.47994417538655,33.119010487771135,43.47826086956522,15.217391304347828,4.7,59.51505,89.51505,2
48,605.8839514957418,545.8909999999975,673.2650000000007,29.924461643884285,33.83840584635756,33.47670079196803,44.680851063829785,14.893617021276595,4.8,60.51505,90.51505,3
48,606.0010025263255,545.8909999999975,673.2650000000007,29.964080750795127,33.79146896346038,33.43033473333185,44.680851063829785,14.893617021276595,4.8,61.51505,91.51505,4
48,604.7292215132444,545.8909999999975,673.2650000000007,29.724013797229293,33.745148926522575,33.38647287409893,44.680851063829785,14.893617021276595,4.363636363636363,62.51505,92.51505,5
49,603.5284210741987,545.8909999999975,673.2650000000007,30.135876945614463,33.483041288326156,33.141097739981376,43.75,14.583333333333334,4.454545454545454,63.51505,93.51505,6
48,603.212867346578,545.8909999999975,673.2650000000007,30.37285217024184,33.85389106488671,33.49180695325666,44.680851063829785,14.893617021276595,4.8,64.51505,94.51505,7
48,600.938325679911,545.8909999999975,673.2650000000007,30.029105238563,32.98322726284713,32.63964131651581,42.5531914893617,12.76595744680851,4.8,65.51505,95.51505,8
49,600.1862578088927,545.8909999999975,673.2650000000007,30.177399826369637,33.27204282282888,32.9323632555958,41.66666666666667,14.583333333333334,4.9,66.51505,96.51505,9
48,600.938325679911,545.8909999999975,673.2650000000007,30.49470377286284,32.543830130183295,32.20506774437495,40.42553191489361,12.76595744680851,4.363636363636363,67.51505,97.51505,10
48,603.409980257689,545.8909999999975,673.2650000000007,30.854823608867683,28.29069959685113,28.054980687007916,40.42553191489361,10.638297872340425,4.363636363636363,68.51505,98.51505,11
