nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,window_start,window_end,window_number
46,578.0157029014828,473.14500000000237,764.3110000000064,62.75735992119316,38.93288570381301,38.506362825079925,35.55555555555556,15.555555555555555,4.181818181818182,59.014708999999996,89.014709,1
47,577.7203475206,473.14500000000237,764.3110000000064,62.10448449331798,38.697009192716045,38.27407836074134,34.78260869565217,15.217391304347828,4.2727272727272725,60.014708999999996,90.014709,2
48,580.0911527805878,473.14500000000237,764.3110000000064,61.91382062061601,39.42922911329515,39.05552454607678,38.297872340425535,17.02127659574468,4.8,61.014708999999996,91.014709,3
48,582.3658819472546,473.14500000000237,764.3110000000064,62.633881592432154,39.49909458235463,39.145626937023366,38.297872340425535,17.02127659574468,5.333333333333333,62.014708999999996,92.014709,4
48,587.2944652805882,473.14500000000237,764.3110000000064,64.26802491665899,39.355366934477175,38.96523367811965,36.17021276595745,17.02127659574468,6.857142857142857,63.014708999999996,93.014709,5
47,587.7872411376218,473.14500000000237,764.3110000000064,65.09268692648102,39.99810515233948,39.56886519665626,39.130434782608695,17.391304347826086,6.714285714285714,64.014709,94.014709,6
47,591.659134754643,473.14500000000237,764.3110000000064,65.74620589097832,40.703802960167174,40.29002636367883,41.30434782608695,19.565217391304348,6.714285714285714,65.014709,95.014709,7
47,593.5950709248559,473.14500000000237,764.3110000000064,65.71022547703001,40.703802960167046,40.290026363678685,41.30434782608695,19.565217391304348,7.833333333333333,66.014709,96.014709,8
47,594.3694539035793,473.14500000000237,764.3110000000064,65.89837666956905,42.15579231842322,41.695059442950246,43.47826086956522,21.73913043478261,6.714285714285714,67.014709,97.014709,9
47,594.756645392941,473.14500000000237,764.3110000000064,65.77021304420491,42.41502486879042,41.9533238445218,45.65217391304348,21.73913043478261,6.714285714285714,68.014709,98.014709,10
46,597.4003768145266,473.14500000000237,764.3110000000064,64.9501127100467,43.15086664934815,42.67638377858086,48.888888888888886,22.22222222222222,6.571428571428571,69.014709,99.014709,11
