nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,window_start,window_end,window_number
45,600.7099856388031,545.8679999999987,746.0189999999986,46.2054557359218,45.73722168323185,45.264974288926545,45.45454545454545,22.727272727272727,5.625,0.0,30.0,1
46,602.1189339426553,545.8679999999987,746.0189999999986,46.67780159254548,45.255425356292854,44.78799886779438,44.44444444444444,22.22222222222222,5.75,0.9923840724637681,30.992384072463768,2
46,603.3056078556989,545.8679999999987,746.0189999999986,47.479146489085096,47.26491359464679,46.74379329212723,46.666666666666664,24.444444444444443,6.571428571428571,1.9847681449275363,31.984768144927536,3
46,606.0744991600466,545.8679999999987,746.0189999999986,47.30380313591223,46.85634858292494,46.34867423926073,46.666666666666664,22.22222222222222,6.571428571428571,2.9771522173913043,32.97715221739131,4
45,607.8167769191587,545.8679999999987,746.0189999999986,48.23158901293672,47.205320002392384,46.711598162450265,47.72727272727273,22.727272727272727,6.428571428571429,3.9695362898550726,33.96953628985507,5
45,609.838510252492,545.8679999999987,746.0189999999986,48.26263208619881,47.19161511969883,46.70389885849249,47.72727272727273,22.727272727272727,7.5,4.961920362318841,34.96192036231884,6
46,614.899010144019,545.8679999999987,746.0189999999986,51.47954257099141,48.487236773127414,48.13092458759833,48.888888888888886,24.444444444444443,6.571428571428571,5.954304434782609,35.95430443478261,7
46,618.3955525075191,545.8679999999987,746.0189999999986,52.83891441349688,48.72335462228371,48.32000438085569,51.11111111111111,24.444444444444443,6.571428571428571,6.946688507246377,36.94668850724638,8
45,623.1280687425967,545.8679999999987,746.0189999999986,52.41773997405962,49.43470355657737,48.98546679633126,54.54545454545454,25.0,6.428571428571429,7.939072579710145,37.93907257971014,9
45,627.9802242981525,545.8679999999987,746.0189999999986,51.614398940585794,49.23477056002817,48.700169061928555,54.54545454545454,25.0,6.428571428571429,8.931456652173914,38.931456652173914,10
43,629.4109210202218,545.8679999999987,746.0189999999986,52.37609766203184,50.3547108198644,49.79947229340458,57.14285714285714,26.190476190476193,6.142857142857143,9.923840724637682,39.923840724637685,11
