lf_power,hf_power,lf_hf_ratio,lf_norm,hf_norm,ln_hf,lf_peak,hf_peak,n_samples,window_start,window_end,window_number,nn_count
214.44340975788094,63.780991223121234,3.3621837109383637,77.07570184418283,22.924298155817162,4.155455202745582,0.06896551724137931,0.20689655172413793,116,58.677429000000004,88.677429,1,40
258.7399011866762,62.20475312218626,4.159487630767442,80.61823049954175,19.381769500458248,4.130431413580928,0.06779661016949153,0.2033898305084746,119,59.677429000000004,89.677429,2,41
262.862302403536,29.563826356372374,8.891349151997606,89.89015568419151,10.109844315808477,3.386551531423196,0.07017543859649122,0.21052631578947367,114,60.677429000000004,90.677429,3,41
225.8884923369567,58.1039466810989,3.8876617723876197,79.54031914300198,20.459680856998023,4.062233590657482,0.06779661016949153,0.2711864406779661,119,61.677429000000004,91.677429,4,43
198.9782700896153,64.73482618379565,3.0737437917060992,75.45255541018705,24.547444589812955,4.170299328464844,0.13559322033898305,0.2033898305084746,119,62.677429000000004,92.677429,5,43
208.76488253437685,71.158192767972,2.9338137242341693,74.5793758906396,25.420624109360418,4.264905465734997,0.13793103448275862,0.20689655172413793,116,63.677429000000004,93.677429,6,42
251.84878439634065,86.9253244006237,2.8973004832931473,74.34121376355824,25.65878623644175,4.465049409846969,0.13793103448275862,0.20689655172413793,116,64.677429,94.677429,7,43
283.1936314363865,116.60607225176405,2.428635370076984,70.83387727002459,29.16612272997542,4.758801350191309,0.13559322033898305,0.2033898305084746,119,65.677429,95.677429,8,44
357.85681081010637,136.3143312261011,2.62523248723231,72.41556221506082,27.584437784939187,4.914963477900781,0.06896551724137931,0.20689655172413793,116,66.677429,96.677429,9,44
361.9223826027343,200.4731094495943,1.8053412928866341,64.35371330626862,35.646286693731376,5.30068012029369,0.06779661016949153,0.2033898305084746,119,67.677429,97.677429,10,45
338.21515319999224,84.908658392794,3.9832822659307947,79.93290472753871,20.067095272461284,4.441576071542481,0.07017543859649122,0.21052631578947367,114,68.677429,98.677429,11,44
