combination_name,overall_accuracy,n_features,kernel,features,n_subjects
combo_4feat_058,0.6818181818181818,4,rbf,"nn_min, pnn20, lf_power, hf_norm",10
combo_4feat_047,0.6602272727272728,4,rbf,"nn_min, pnn20, hf_power, hf_norm",10
combo_3feat_026,0.65,3,rbf,"nn_mean, pnn20, lf_power",10
combo_4feat_100,0.65,4,rbf,"pnn20, hf_power, lf_hf_ratio, lf_peak",10
combo_4feat_062,0.6488636363636363,4,rbf,"rmssd, pnn20, triangular_index, lf_power",10
