mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selector__k,param_svm__C,param_svm__kernel,param_svm__gamma,param_svm__coef0,param_svm__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.05882418155670166,0.004751576156227819,0.008979892730712891,0.0030472538841514562,22,10.0,rbf,0.1,,,"{'selector__k': 22, 'svm__C': 10, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.5178571428571429,0.44642857142857145,0.5267857142857143,0.5803571428571429,0.5714285714285714,0.5625,0.5267857142857143,0.5267857142857143,0.5714285714285714,0.5803571428571429,0.5410714285714285,0.03936679943758679,1
0.04981391429901123,0.0033805929086423055,0.009539794921875,0.0019407859788668808,22,10.0,rbf,scale,,,"{'selector__k': 22, 'svm__C': 10, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5178571428571429,0.4732142857142857,0.5267857142857143,0.5357142857142857,0.5357142857142857,0.5,0.5267857142857143,0.5357142857142857,0.6517857142857143,0.5892857142857143,0.5392857142857144,0.04677071733467427,2
0.06467370986938477,0.0166023345271663,0.011408233642578125,0.004918988386854668,15,10.0,rbf,0.1,,,"{'selector__k': 15, 'svm__C': 10, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.5178571428571429,0.5267857142857143,0.5446428571428571,0.5625,0.49107142857142855,0.5178571428571429,0.5,0.5089285714285714,0.5982142857142857,0.5892857142857143,0.5357142857142858,0.03503824441133675,3
0.03618390560150146,0.00795269134680354,0.008865070343017579,0.007378689690483623,6,10.0,rbf,scale,,,"{'selector__k': 6, 'svm__C': 10, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5178571428571429,0.5535714285714286,0.5178571428571429,0.5089285714285714,0.375,0.5446428571428571,0.5803571428571429,0.5357142857142857,0.625,0.5982142857142857,0.5357142857142857,0.06438484420471409,4
0.04897592067718506,0.010808884167793041,0.01127796173095703,0.008330334012679722,12,10.0,rbf,0.1,,,"{'selector__k': 12, 'svm__C': 10, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.5535714285714286,0.48214285714285715,0.5446428571428571,0.5089285714285714,0.5178571428571429,0.5089285714285714,0.5446428571428571,0.4375,0.5982142857142857,0.6071428571428571,0.5303571428571429,0.048445214165180474,5
0.048300862312316895,0.006902479919711532,0.010601544380187988,0.0017258955323604679,12,10.0,rbf,scale,,,"{'selector__k': 12, 'svm__C': 10, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5357142857142857,0.49107142857142855,0.5446428571428571,0.49107142857142855,0.5,0.5089285714285714,0.5892857142857143,0.42857142857142855,0.5982142857142857,0.5892857142857143,0.5276785714285714,0.05151561334554164,6
0.04409670829772949,0.0050156139333518215,0.009137773513793945,0.0026205919351740777,22,1.0,rbf,0.1,,,"{'selector__k': 22, 'svm__C': 1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.5357142857142857,0.5,0.5178571428571429,0.5,0.49107142857142855,0.5535714285714286,0.4642857142857143,0.49107142857142855,0.6339285714285714,0.5803571428571429,0.5267857142857143,0.0480818286351295,7
0.057643890380859375,0.015073280852841197,0.015354061126708984,0.005620450373696918,22,0.1,rbf,0.01,,,"{'selector__k': 22, 'svm__C': 0.1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.5446428571428571,0.5446428571428571,0.5089285714285714,0.5178571428571429,0.39285714285714285,0.5892857142857143,0.6696428571428571,0.49107142857142855,0.45535714285714285,0.5535714285714286,0.5267857142857143,0.07098073897982782,7
0.021119308471679688,0.002799811567590127,0.004585886001586914,0.003516117367408415,4,0.1,poly,scale,0.0,2.0,"{'selector__k': 4, 'svm__C': 0.1, 'svm__coef0': 0.0, 'svm__degree': 2, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5,0.5,0.5446428571428571,0.49107142857142855,0.5,0.5,0.5625,0.5,0.5982142857142857,0.5714285714285714,0.5267857142857142,0.036813443085871964,9
0.03310472965240478,0.005401714513523957,0.010326504707336426,0.008623651688959802,4,10.0,rbf,scale,,,"{'selector__k': 4, 'svm__C': 10, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5267857142857143,0.5803571428571429,0.5178571428571429,0.5357142857142857,0.38392857142857145,0.6160714285714286,0.5714285714285714,0.4732142857142857,0.5089285714285714,0.5446428571428571,0.525892857142857,0.06074710247562161,10
