subject,accuracy,n_samples
bayu,0.5178571428571429,112
desta,0.44642857142857145,112
dewi,0.5267857142857143,112
esty,0.5803571428571429,112
hilmi,0.5714285714285714,112
irsyad,0.5625,112
jovita,0.5267857142857143,112
nathan,0.5267857142857143,112
prayogi,0.5714285714285714,112
rizqi,0.5803571428571429,112
