subject,accuracy,n_samples
bayu,0.5625,112
desta,0.5803571428571429,112
dewi,0.5357142857142857,112
esty,0.5,112
hilmi,0.5267857142857143,112
irsyad,0.6696428571428571,112
jovita,0.5892857142857143,112
nathan,0.5803571428571429,112
prayogi,0.5982142857142857,112
rizqi,0.5357142857142857,112
