nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,window_start,window_end,window_number
36,831.4469301183263,763.9800000000001,909.5009999999988,35.72322588294284,25.14673778890045,24.871925638656798,25.71428571428571,5.714285714285714,3.6,0.0,30.0,1
37,831.0983914664797,763.9800000000001,909.5009999999988,35.287320923090476,25.600367823860445,25.262522271759376,27.77777777777778,5.555555555555555,3.7,0.9882566231884058,30.988256623188406,2
37,829.6235536286418,763.9800000000001,909.5009999999988,35.4037748647836,25.7588698782276,25.44378183920666,27.77777777777778,5.555555555555555,4.111111111111111,1.9765132463768116,31.97651324637681,3
38,825.9813548489408,763.9800000000001,909.5009999999988,36.958562037390145,25.68185941243818,25.451410748411426,27.027027027027028,5.405405405405405,4.75,2.9647698695652176,32.96476986956522,4
38,824.0666180068355,763.9800000000001,909.5009999999988,37.301385879708604,25.759122472784743,25.45141074841137,27.027027027027028,5.405405405405405,4.75,3.953026492753623,33.95302649275362,5
38,821.6731706384145,745.7899999999995,909.5009999999988,39.328985910714074,26.387950566545634,26.14472537166958,29.72972972972973,5.405405405405405,5.428571428571429,4.941283115942029,34.94128311594203,6
37,819.7910941691824,745.7899999999995,909.5009999999988,40.20978623656276,27.532881500967296,27.19007363610271,33.33333333333333,5.555555555555555,5.285714285714286,5.929539739130435,35.92953973913043,7
38,817.8436969542039,745.7899999999995,909.5009999999988,40.12386187807061,27.340380758858913,26.98630457318619,32.432432432432435,5.405405405405405,5.428571428571429,6.917796362318841,36.91779636231884,8
38,816.8863285331514,745.7899999999995,909.5009999999988,40.094788490498146,27.340382756805585,26.98630457318619,32.432432432432435,5.405405405405405,5.428571428571429,7.906052985507246,37.906052985507245,9
38,814.9716180068353,745.7899999999995,909.5009999999988,40.85121304392368,27.746206178947837,27.47885447281977,35.13513513513514,5.405405405405405,5.428571428571429,8.894309608695652,38.89430960869565,10
38,813.1147441834347,745.7899999999995,909.5009999999988,40.588606972107506,27.99770522430509,27.68253344614148,37.83783783783784,5.405405405405405,5.428571428571429,9.882566231884057,39.882566231884056,11
38,811.584006559578,745.7899999999995,909.5009999999988,40.062396217986034,28.0951175419552,27.75740911409222,37.83783783783784,5.405405405405405,5.428571428571429,10.870822855072463,40.87082285507246,12
38,810.6214040484396,745.7899999999995,909.5009999999988,39.42715075233191,28.206085524973837,27.82665452715003,40.54054054054054,5.405405405405405,5.428571428571429,11.85907947826087,41.85907947826087,13
38,810.6213777326502,745.7899999999995,909.5009999999988,39.427120378746075,28.37290359430764,27.986859706913293,40.54054054054054,5.405405405405405,5.428571428571429,12.847336101449276,42.84733610144927,14
38,811.1000619431766,745.7899999999995,909.5009999999988,40.08456341105182,28.372921403266737,27.986877273549286,40.54054054054054,5.405405405405405,5.428571428571429,13.835592724637682,43.83559272463768,15
38,811.5787461537028,745.7899999999995,909.5009999999988,40.94461085329902,28.530076041125657,28.146187962048856,40.54054054054054,5.405405405405405,5.428571428571429,14.823849347826087,44.82384934782608,16
38,811.5787724694924,745.7899999999995,909.5009999999988,40.94465147621433,28.53009422965963,28.146205428284727,40.54054054054054,5.405405405405405,5.428571428571429,15.812105971014493,45.81210597101449,17
38,811.100088258966,745.7899999999995,909.5009999999988,40.52833534083558,29.167281118821425,28.774628915076946,43.24324324324324,5.405405405405405,5.428571428571429,16.8003625942029,46.800362594202895,18
38,811.5787461537029,745.7899999999995,909.5009999999988,41.16243861243744,29.13316160105793,28.774594745033575,43.24324324324324,5.405405405405405,5.428571428571429,17.788619217391304,47.7886192173913,19
38,814.9295619431764,745.7899999999995,909.5009999999988,44.810989212666364,26.526782714789903,26.17047533902735,40.54054054054054,2.7027027027027026,5.428571428571429,18.77687584057971,48.776875840579706,20
38,813.9721935221239,745.7899999999995,891.3110000000017,43.09153469568332,26.439363040886114,26.082368683569264,37.83783783783784,2.7027027027027026,5.428571428571429,19.765132463768115,49.76513246376811,21
37,811.420575857851,745.7899999999995,891.3110000000017,41.39686651155698,25.866954854187412,25.515185797286275,36.11111111111111,2.7777777777777777,5.285714285714286,20.75338908695652,50.75338908695652,22
37,812.6080505292151,745.7899999999995,891.3110000000017,42.00992670734823,24.685255566283004,24.470756132629635,33.33333333333333,2.7777777777777777,5.285714285714286,21.741645710144926,51.74164571014492,23
36,815.4746630439155,745.7899999999995,891.3110000000017,42.2626980391772,24.34360951206493,24.04392851445918,31.428571428571427,2.857142857142857,5.142857142857143,22.72990233333333,52.72990233333333,24
36,816.9904963772487,745.7899999999995,891.3110000000017,42.681681679501466,24.343607627698905,24.043928513865026,31.428571428571427,2.857142857142857,5.142857142857143,23.71815895652174,53.71815895652174,25
37,817.5242937724582,745.7899999999995,891.3110000000017,41.991453935633835,24.81258528680063,24.470756132061773,33.33333333333333,2.7777777777777777,5.285714285714286,24.706415579710146,54.706415579710146,26
37,817.5242937724582,745.7899999999995,891.3110000000017,41.991453935633835,24.812585286800473,24.470756132061627,33.33333333333333,2.7777777777777777,5.285714285714286,25.694672202898552,55.69467220289855,27
36,819.01160748836,745.7899999999995,891.3110000000017,41.58694952141949,24.986191553162644,24.626659261455433,34.285714285714285,2.857142857142857,5.142857142857143,26.682928826086957,56.68292882608696,28
36,818.5063297105821,745.7899999999995,891.3110000000017,42.153986208744925,24.986170141932185,24.626638158299723,34.285714285714285,2.857142857142857,6.0,27.671185449275363,57.67118544927536,29
37,816.5410235021881,745.7899999999995,891.3110000000017,43.24937511346678,22.948677670338885,22.71778752755287,30.555555555555557,0.0,6.166666666666667,28.65944207246377,58.65944207246377,30
