stft_lf_power,stft_hf_power,stft_lf_hf_ratio,wt_lf_power,wt_hf_power,wt_lf_hf_ratio,sd1,sd2,sd1_sd2_ratio,apen,sampen,mse,dfa,cd,window_start,window_end,window_number,nn_count
562.7388351707718,488.1046332233736,1.1529061534265626,81996.44977189622,119554.62165859387,0.6858492681783772,41.16328793433799,59.41546872207394,0.6928042278006472,0.2338321204373428,2.247015241839235,2.247015241839235,0.7375117459052912,,0.0,30.0,1,38
311.91130465679885,412.4441999923252,0.7562509174696611,44956.93175394912,82949.69545751446,0.5419782617161016,40.6757957409252,47.77629329821295,0.8513803169810342,0.23383212043734325,2.247015241839235,1.4111896933713983,0.6899608667585106,,0.9966099999999999,30.99661,2,38
298.3264104804184,405.0867100776104,0.7364507475841349,39785.03323473364,60795.56324935931,0.6544068532031632,40.62061796236594,41.14067560837697,0.9873590394860039,0.2338321204373428,2.247015241839235,2.247015241839235,0.6465880491042078,,1.9932199999999998,31.99322,3,38
324.1736113088207,326.9675219563541,0.9914550820193666,42279.10955473532,45106.84953323879,0.9373101866396342,39.765802928613844,39.43844751655514,1.0083004129875621,0.24797396216070844,2.34232542164356,2.34232542164356,0.46933251686374305,,2.9898299999999995,32.98983,4,38
309.0472899917087,324.565428553098,0.9521879497761343,32076.127899350104,38865.31345408948,0.8253150444092646,39.24795209650966,39.109784758923624,1.0035328071581673,0.24797396216070888,2.34232542164356,2.34232542164356,1.0130073624175933,,3.9864399999999995,33.98644,5,38
304.5964779247804,305.966144217874,0.9955234710475891,27597.750630724535,32354.703462414436,0.8529749210273414,39.24792100123183,38.31712980944924,1.0242917772330153,0.24797396216070844,2.34232542164356,2.34232542164356,0.6761853550449989,,4.9830499999999995,34.98305,6,38
251.59338611824404,282.4258201116845,0.8908299744330876,28124.997065698113,33953.69724525942,0.8283338589766278,40.40370618925509,37.06682972005076,1.0900232494525708,0.24797396216070888,2.34232542164356,2.34232542164356,0.9125260430522296,,5.979659999999999,35.979659999999996,7,38
180.67850924984367,270.58942757732376,0.6677219833045238,19722.974388661503,30644.606547286116,0.643603446440781,42.79864845303286,33.432568007647866,1.2801483999207293,0.1740799033622742,,,0.513763182247238,,6.9762699999999995,36.97627,8,38
199.00232254038465,267.1834468178711,0.7448153128610131,15140.920832335345,27242.77015449415,0.5557775786553791,43.315859813507,31.04279560750446,1.3953595013550255,0.1740799033622742,,,0.4616918074888399,,7.972879999999999,37.972879999999996,9,38
211.9159982715529,288.5116946705257,0.7345144137266649,16269.878272032107,30670.466595480924,0.5304737774815611,41.653488461728095,34.81074615626963,1.1965698253859562,0.1740799033622742,,,0.6441441379931471,,8.969489999999999,38.96949,10,38
269.2711540777867,273.4893534158049,0.9845763672509374,29577.06934940527,41699.32907516303,0.7092936506504822,41.93598468789922,35.68374800283453,1.1752124432897555,0.20598997424637355,,,0.5066805630229594,,9.966099999999999,39.9661,11,39
226.0833166855218,321.0470361373724,0.7042062104000899,29452.43283374975,51531.12545837757,0.571546469667797,42.26297434985987,37.634797435778765,1.1229760014186076,0.21154730852767933,,,0.6522256724348248,,10.96271,40.96271,12,38
206.32158557808356,317.9740911228649,0.6488628832714313,30867.89224919512,57498.856831417484,0.5368435817722811,40.35047138258758,38.77737101228268,1.0405674835305607,0.24247139480216262,,1.2685113254635072,0.6635164479230049,,11.959319999999998,41.95932,13,39
176.13069821514603,273.5983317968669,0.6437564770660835,34728.86362198679,59549.755906107006,0.5831906964780591,38.55105114597067,37.494229524884474,1.028186246902418,0.24247139480216262,,,0.4283761684619351,,12.955929999999999,42.955929999999995,14,39
165.12102533625148,316.8007565541968,0.52121411301867,35180.49937843959,68447.94649006317,0.5139745044585338,38.89721413157133,38.129682974047256,1.020129491972047,0.20598997424637355,,,0.9884717050383025,,13.952539999999999,43.95254,15,39
221.10708359327157,356.15224977893945,0.6208218078765544,39807.73826601094,81542.87191474208,0.4881817052951902,38.467461584776565,41.70886260443041,0.9222850774038517,0.20598997424637355,,,0.9567427809945032,,14.949149999999998,44.949149999999996,16,39
422.72395644739595,419.3656605951519,1.008008037275627,68905.32229754142,91568.30946293457,0.7525018502763307,38.017592633175894,49.550233180128075,0.7672535563515807,0.151754519894173,,,1.0618324574285753,,15.945759999999998,45.94576,17,40
485.04869563281477,357.62349415246706,1.3563110465344843,83852.84971464191,86816.68865915271,0.9658609538062819,37.53596237035256,51.545140466507796,0.7282153472345262,0.18730051915365964,,,1.2208825161115955,,16.942369999999997,46.94237,18,40
560.6446835417804,313.9476820163216,1.78579016708515,78804.84886647576,85610.5977316697,0.9205034301181441,37.357553329168155,53.20123877529134,0.7021932981661412,0.15573886569678086,,,1.1859819301895724,,17.938979999999997,47.93898,19,39
554.7645895554913,269.8531870934628,2.0558015101107268,82758.65200244795,76170.67314747954,1.0864897024370797,36.73020704971173,57.96913920513095,0.6336165681777884,0.22284651841314718,,,0.5786207096398874,,18.935589999999998,48.93559,20,40
680.6867984827768,278.2504389661519,2.4463098818008215,71860.90777451351,70768.63123531664,1.0154344731573899,35.13807921649214,59.65320563068511,0.589039245068282,0.22284651841314762,,,1.039611501412905,,19.932199999999998,49.932199999999995,21,40
578.9071813864172,209.12550793270938,2.768228453245458,68576.66709366994,69707.97396103568,0.9837707682049699,36.137574494924216,57.78334274056969,0.6253977837681939,0.22284651841314762,,,1.054195185588433,,20.92881,50.92881,22,40
