stft_lf_power,stft_hf_power,stft_lf_hf_ratio,wt_lf_power,wt_hf_power,wt_lf_hf_ratio,sd1,sd2,sd1_sd2_ratio,apen,sampen,mse,dfa,cd,window_start,window_end,window_number,nn_count
406.92701881917344,492.1096776439561,0.8269031016807562,31061.74790468789,132349.1707152114,0.23469544793389094,34.49610710445004,52.40033449996229,0.6583184521062873,0.21098491021593757,,,0.7057952022566629,,0.0,30.0,1,34
323.5683711320297,434.7012661113424,0.7443465118450078,50505.50318750184,126653.55222531187,0.39876894331120283,33.83998560737513,51.234300188402656,0.6604947364623156,0.19895436864471527,,1.4842747694800944,0.8791356535523072,,0.9832216811594203,30.98322168115942,2,36
309.5760703900506,445.56804542492927,0.6947896590920613,52469.34012813631,125827.7832627099,0.41699328055858603,34.036419313561495,50.37029389655463,0.6757240562603184,0.14439602136230079,,,0.814372534698315,,1.9664433623188406,31.96644336231884,3,36
333.54345673783456,425.12762278891364,0.7845725350469672,59032.009195668725,131476.20271763628,0.4489938709474582,33.75947823487548,49.969053526264084,0.6756077180924627,0.14439602136230079,,1.4842747694800944,0.8739027446296393,,2.949665043478261,32.94966504347826,4,36
372.73221489627656,381.83589740819406,0.9761581281815759,67444.89377055659,134511.15900784923,0.5014074242466078,33.362222134924025,49.61350479603835,0.6724423574861734,0.14439602136230079,,,1.2701363638869623,,3.9328867246376813,33.93288672463768,5,36
385.7855311418351,378.9271592319884,1.018099446641846,65393.243676786355,135095.72396761357,0.4840511731700568,33.63837672802815,49.77006493843648,0.6758756847691214,0.0898376740798863,,,1.1719854927739055,,4.916108405797102,34.916108405797104,6,36
375.8997986013447,415.09491495556307,0.9055755323635557,60713.31474143072,142002.8245256284,0.42755005010811603,33.075489267648024,50.76118435105827,0.6515901802524149,0.12944607439760025,,,0.8172771671594081,,5.899330086956522,35.899330086956525,7,36
284.11776001550356,546.8144813388276,0.519587117215093,52044.54212930362,134528.91693280003,0.3868650942555129,33.97822406507415,46.960069927308254,0.7235556529288631,0.12586179982440937,,,0.7028269500677107,,6.882551768115942,36.882551768115945,8,37
256.21339779828526,456.01992568048183,0.5618469355485731,48100.05987942299,127363.20592351597,0.3776605616248716,34.02361301246453,42.36128191923975,0.8031771339993332,0.16436996652218738,,0.5679840376059393,1.1224613624316568,,7.865773449275363,37.865773449275366,9,37
313.3138738380818,414.73320282375767,0.7554588629444049,49198.88802594327,126303.49898778487,0.3895290979286134,32.166209995679296,42.086359655634745,0.7642906217413795,0.20866287503302772,,0.2803019651541584,1.145999554741262,,8.848995130434783,38.84899513043479,10,36
369.9431948497662,384.12656792637154,0.9630763027852978,52086.53370217288,123739.54291796291,0.4209368523100259,32.123843399117284,42.80384268850382,0.7504897077906547,0.24827127535074167,,,0.8222080405992949,,9.832216811594204,39.83221681159421,11,36
342.550708882879,397.3348110710119,0.8621210609533956,54114.12753322821,116410.19961880738,0.4648572694697176,34.07333507182263,41.29152481168858,0.8251895569118204,0.20866287503302772,,0.5679840376059393,0.9928728976887238,,10.815438492753623,40.81543849275362,12,36
336.3236176192855,410.3626026248327,0.8195766755056092,57174.48568087462,115512.49939954553,0.49496362712323594,36.04101235220663,41.643868178689374,0.8654578433709359,0.16905447471531376,,,0.8193449071369923,,11.798660173913044,41.79866017391304,13,36
336.31364324848994,391.02715368995484,0.8600774653786627,59211.68263068488,122592.10396395127,0.4829975236259221,38.980707806330734,41.1906324008674,0.9463488546984867,0.2028781332199645,,,0.9147449185198191,,12.781881855072465,42.78188185507246,14,37
340.54917942021984,366.0277096688553,0.9303917993504104,64032.48195792417,115683.80751652451,0.5535129188133966,39.34733444353172,40.13159775543596,0.9804577099947986,0.22244786875308886,2.0206010416569025,2.0206010416569025,1.1557570933017332,,13.765103536231884,43.765103536231884,15,36
379.7270537011523,341.99274584323894,1.1103365738175817,66846.0259155765,118827.13501789383,0.5625484945463401,38.31012536130489,41.562725174746234,0.9217423831333594,0.22244786875308886,2.0206010416569025,2.0206010416569025,0.6585798175943464,,14.748325217391304,44.748325217391304,16,36
422.1820601249961,445.0037611991426,0.9487157119253633,80845.45702133187,117676.60454725873,0.6870138489495387,37.973001457881395,47.46244186140541,0.8000642183721883,0.17780440356237603,1.8887517352153647,1.8887517352153647,1.1678754668411009,,15.731546898550725,45.731546898550725,17,37
444.96587101363275,414.57241657876716,1.0733127753046199,94232.60632321509,103807.60130779265,0.9077621015806301,38.22109399559719,46.827162905198236,0.8162163072918547,0.1778044035623756,1.8887517352153647,1.4311004404647343,1.1362405686669306,,16.714768579710146,46.714768579710146,18,37
470.6511862644578,395.8180306605905,1.189059491471588,96462.91632384073,100024.76541902767,0.9643903279325362,36.076508619659805,48.06448002778335,0.7505856422726339,0.1778044035623756,1.8887517352153647,1.8887517352153647,1.218887828462866,,17.697990260869567,47.69799026086957,19,37
490.2398273040762,370.74091213630453,1.3223245971586057,85716.92564959846,97163.75781801691,0.8821903101991316,35.74526390433609,48.50436696339507,0.7369493951738939,0.1778044035623756,1.8887517352153647,1.4311004404647343,0.656666909724386,,18.681211942028987,48.68121194202899,20,37
611.927680302682,350.9561625002983,1.7436014684162322,70784.23021996688,97645.75664277756,0.724908410294911,36.4378200245092,52.8674124794139,0.6892302518456991,0.16326973290225055,1.7346010553881064,1.7005986908310777,1.0123249405171033,,19.66443362318841,49.66443362318841,21,37
