lf_power,hf_power,lf_hf_ratio,lf_norm,hf_norm,ln_hf,lf_peak,hf_peak,n_samples,window_start,window_end,window_number,nn_count
340.3251266434372,197.8947992625009,1.719727491130311,63.23161039989331,36.768389600106694,5.2877355726396615,0.13793103448275862,0.20689655172413793,116,58.94799200000001,88.94799200000001,1,46
299.00973288300077,186.8965602126974,1.5998675018026713,61.53650140606668,38.46349859393332,5.230555309865709,0.13793103448275862,0.20689655172413793,116,59.94799200000001,89.94799200000001,2,46
269.1297532673823,205.80097090773532,1.307718579170545,56.667159981030856,43.332840018969144,5.326909541113483,0.13559322033898305,0.2033898305084746,119,60.94799200000001,90.94799200000001,3,47
240.7607085210242,231.80323776569466,1.0386425609998757,50.947752238158984,49.05224776184102,5.445888898736033,0.13793103448275862,0.20689655172413793,117,61.94799200000001,91.94799200000001,4,46
225.76272460281893,276.98659656245036,0.8150673260174078,44.9056249503326,55.0943750496674,5.6239691171554185,0.13793103448275862,0.20689655172413793,117,62.94799200000001,92.94799200000001,5,46
170.50773324672718,283.7931638512142,0.6008169151534608,37.53189446376284,62.46810553623716,5.648245676526078,0.13333333333333333,0.2,120,63.94799200000001,93.94799200000001,6,47
244.33085913471697,340.2333756005869,0.7181272522233281,41.79709339305581,58.20290660694418,5.829631780971531,0.13559322033898305,0.2033898305084746,118,64.94799200000001,94.94799200000001,7,46
210.02444374782516,254.1705128530642,0.8263131761048936,45.244878420426765,54.75512157957324,5.538005352235607,0.13559322033898305,0.2033898305084746,118,65.94799200000001,95.94799200000001,8,46
165.02304936084974,233.38086527955164,0.7070975984392699,41.42104113354389,58.57895886645611,5.4526717339705035,0.13559322033898305,0.2033898305084746,118,66.94799200000001,96.94799200000001,9,46
127.0520723748675,189.1924983150058,0.6715492078513896,40.17525805983298,59.82474194016702,5.242765006333861,0.13793103448275862,0.20689655172413793,117,67.94799200000001,97.94799200000001,10,46
153.4253608140056,236.1008224199299,0.649829844900424,39.38768879160654,60.61231120839344,5.464258927439614,0.13333333333333333,0.2,120,68.94799200000001,98.94799200000001,11,47
