lf_power,hf_power,lf_hf_ratio,lf_norm,hf_norm,ln_hf,lf_peak,hf_peak,n_samples,window_start,window_end,window_number,nn_count
471.62647191504146,256.56201271606517,1.8382552698360148,64.76708735018832,35.23291264981169,5.5473704003652955,0.13793103448275862,0.27586206896551724,117,58.533247,88.533247,1,37
357.7946490018703,265.4106621202196,1.3480794107653622,57.41200253214402,42.58799746785598,5.581278294867423,0.13559322033898305,0.2033898305084746,119,59.533247,89.533247,2,38
314.51102641009186,302.49424077332196,1.0397256675236168,50.97379927497424,49.02620072502576,5.712062238523779,0.13559322033898305,0.2033898305084746,119,60.533247,90.533247,3,38
251.86310960541044,372.0351839776347,0.6769873400483313,40.369257649185364,59.63074235081463,5.918988430385724,0.06896551724137931,0.20689655172413793,116,61.533247,91.533247,4,37
186.03245094409883,381.64355174985906,0.48745079038052297,32.77088516359067,67.22911483640932,5.944487062385406,0.06896551724137931,0.20689655172413793,116,62.533247,92.533247,5,37
204.34625787996018,327.00286724083327,0.6249066242268202,38.45800213437924,61.54199786562076,5.789968939179403,0.07142857142857142,0.21428571428571427,112,63.533247,93.533247,6,37
223.94865639375254,294.0925485862726,0.7614904133759676,43.2298925724234,56.77010742757661,5.683894508912126,0.06896551724137931,0.20689655172413793,117,64.533247,94.533247,7,38
289.2314393973219,179.27676177166205,1.6133236485256517,61.73455206881222,38.26544793118778,5.188930766922483,0.14035087719298245,0.21052631578947367,114,65.533247,95.533247,8,37
267.3053080984348,220.3413548744776,1.2131418010509707,54.81536702595727,45.18463297404273,5.39517795691034,0.13559322033898305,0.2033898305084746,119,66.533247,96.533247,9,38
283.49717666429217,266.5491300504177,1.0635831998801448,51.54060180088299,48.459398199117004,5.5855585795246245,0.13793103448275862,0.27586206896551724,117,67.533247,97.533247,10,37
312.14862241794606,402.44963190371396,0.7756215875795051,43.68169394903664,56.31830605096335,5.997569950900771,0.13793103448275862,0.27586206896551724,117,68.533247,98.533247,11,37
