lf_power,hf_power,lf_hf_ratio,lf_norm,hf_norm,ln_hf,lf_peak,hf_peak,n_samples,window_start,window_end,window_number,nn_count
454.0035745085772,721.9423484855979,0.628864029739951,38.60752145409887,61.39247854590112,6.5819452859617265,0.07142857142857142,0.21428571428571427,113,58.474501000000004,88.474501,1,43
361.4067265613095,981.7151647956541,0.36813807051308717,26.907961882460143,73.09203811753984,6.889301210063787,0.06779661016949153,0.2033898305084746,118,59.474501000000004,89.474501,2,45
418.76568060492747,753.5710729336487,0.555708274436112,35.720596436213995,64.27940356378599,6.624823337352452,0.13793103448275862,0.20689655172413793,117,60.474501000000004,90.474501,3,45
398.2875235228375,789.1893422554022,0.5046792983602423,33.540655401468456,66.45934459853153,6.6710062695658925,0.13333333333333333,0.2,120,61.474501000000004,91.474501,4,46
466.7313091629324,776.9516109305002,0.6007212065677567,37.528159438570476,62.471840561429524,6.655378071633645,0.13793103448275862,0.20689655172413793,117,62.474501000000004,92.474501,5,45
517.3777749937449,773.3112684682092,0.6690420741166456,40.08539296235188,59.914607037648125,6.650681643432018,0.06896551724137931,0.20689655172413793,117,63.474501000000004,93.474501,6,45
439.4225846395257,743.993905012605,0.5906265920714511,37.13169357380642,62.868306426193584,6.612032842612177,0.06779661016949153,0.2033898305084746,119,64.474501,94.474501,7,46
387.6546479743419,676.1809984975038,0.573300120582689,36.439336213256055,63.56066378674395,6.516460789461191,0.06779661016949153,0.2033898305084746,119,65.474501,95.474501,8,46
447.6716209519101,791.6179020168879,0.5655147765245457,36.123247445801354,63.87675255419866,6.674078828451079,0.06779661016949153,0.2033898305084746,118,66.474501,96.474501,9,45
410.111312940173,723.3723871542777,0.5669435552461947,36.18149188259163,63.818508117408356,6.583924147866436,0.13559322033898305,0.2033898305084746,118,67.474501,97.474501,10,45
280.1664532720955,424.0243576057553,0.6607319797712791,39.7855877901669,60.2144122098331,6.049790900765316,0.13559322033898305,0.2033898305084746,119,68.474501,98.474501,11,45
