nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,window_start,window_end,window_number
36,803.6002881702747,745.8929999999953,873.240999999993,34.48932319996125,33.607982805986275,33.12620213807752,37.142857142857146,14.285714285714285,5.142857142857143,58.603415,88.603415,1
37,803.9960719392012,745.8929999999953,873.240999999993,34.09204060754085,33.1852834857922,32.72113285491983,36.11111111111111,13.88888888888889,5.285714285714286,59.603415,89.603415,2
38,804.6076485484041,745.8929999999953,873.240999999993,33.83884736411971,32.754590636317,32.30975999247143,35.13513513513514,13.513513513513514,5.428571428571429,60.603415,90.603415,3
37,806.6862066172798,745.8929999999953,873.240999999993,33.16732610175775,26.805132238256753,26.43021681967709,30.555555555555557,8.333333333333332,5.285714285714286,61.603415,91.603415,4
38,804.855909347867,745.8929999999953,873.240999999993,32.757840999835615,26.799052270912497,26.44445690436465,32.432432432432435,8.108108108108109,4.75,62.603415,92.603415,5
38,803.4196461899722,745.8929999999953,873.240999999993,34.123316240434406,26.95859237736646,26.664424216787253,35.13513513513514,8.108108108108109,5.428571428571429,63.603415,93.603415,6
38,803.4196725057616,745.8929999999953,873.240999999993,34.12332831416183,29.468614593124098,29.071821309857164,37.83783783783784,10.81081081081081,5.428571428571429,64.603415,94.603415,7
37,803.9910690599716,745.8929999999953,873.240999999993,34.40922284656866,28.413205147956234,28.034024008570768,36.11111111111111,8.333333333333332,5.285714285714286,65.603415,95.603415,8
38,803.8984093478672,745.8929999999953,873.240999999993,33.681299397421476,28.193121087805753,27.813869437441358,35.13513513513514,8.108108108108109,5.428571428571429,66.603415,96.603415,9
38,803.8984356636566,745.8929999999953,873.240999999993,33.681325843297614,28.36008764877938,27.97421813610301,35.13513513513514,8.108108108108109,5.428571428571429,67.603415,97.603415,10
38,803.8984093478668,745.8929999999953,873.240999999993,33.6812993974211,28.1931210878055,27.81386943744111,35.13513513513514,8.108108108108109,5.428571428571429,68.603415,98.603415,11
