nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,window_start,window_end,window_number
39,718.9219702579123,655.0380000000047,764.2120000000006,30.125421464095403,30.296700116557428,29.897558637372832,31.57894736842105,10.526315789473683,6.5,58.146635,88.146635,1
40,717.7797710014645,655.0380000000047,764.2120000000006,30.04160503386854,29.981719787444444,29.618969582991436,30.76923076923077,10.256410256410255,5.714285714285714,59.146635,89.146635,2
40,716.1594926976097,655.0380000000047,764.2120000000006,30.66195005574246,30.026563801810422,29.703812475682767,30.76923076923077,10.256410256410255,5.714285714285714,60.146635,90.146635,3
41,715.467563700339,655.0380000000047,764.2120000000006,29.876045617918816,30.378628092595033,30.005320204116856,32.5,10.0,5.125,61.146635,91.146635,4
41,714.7574954541138,655.0380000000047,764.2120000000006,29.20428512675387,30.351230185464868,29.983244237030487,32.5,10.0,5.125,62.146635,92.146635,5
41,714.3136905760649,655.0380000000047,764.2120000000006,28.565224226143577,26.737771445018886,26.46406003436387,30.0,7.5,5.125,63.146635,93.146635,6
41,715.6450808199677,655.0380000000047,764.2120000000006,29.594789350660438,29.514626039179333,29.14335810227457,27.500000000000004,10.0,5.857142857142857,64.146635,94.146635,7
41,715.2012759419184,655.0380000000047,764.2120000000006,30.372878062524702,28.280881378421437,27.984347705055793,25.0,7.5,5.857142857142857,65.146635,95.146635,8
42,713.3356265147302,655.0380000000047,764.2120000000006,30.81074221844128,28.04197404297524,27.786630533274277,24.390243902439025,7.317073170731707,6.0,66.146635,96.146635,9
41,712.5385198443577,655.0380000000047,764.2120000000006,29.933606379124907,26.482697604528614,26.14956865041148,25.0,5.0,5.125,67.146635,97.146635,10
42,711.1694836575875,655.0380000000047,764.2120000000006,30.341165388875247,26.76004595757227,26.446587914504377,26.82926829268293,4.878048780487805,6.0,68.146635,98.146635,11
