nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,window_start,window_end,window_number
32,856.6750543309886,800.5409999999955,982.4820000000045,34.37267294570922,46.39757677736081,45.827615871894196,48.38709677419355,16.129032258064516,3.5555555555555554,58.320982,88.320982,1
33,857.179355714898,800.5409999999955,982.4820000000045,33.955145876505185,45.81303545909922,45.220386345844624,46.875,15.625,3.6666666666666665,59.320982,89.320982,2
34,857.6539923115187,800.5409999999955,982.4820000000045,33.55105826554029,45.09543553417023,44.52995822377179,45.45454545454545,15.151515151515152,3.7777777777777777,60.320982,90.320982,3
34,853.9081687821069,800.5409999999955,909.7059999999999,25.28296505129449,31.90534964573178,31.46172503340249,42.42424242424242,12.121212121212121,3.4,61.320982,91.320982,4
35,855.502363959761,800.5410000000097,909.7059999999999,23.528783234961875,30.812698387379616,30.360904879541007,41.17647058823529,8.823529411764707,3.5,62.320982,92.320982,5
35,854.4627068169038,800.5410000000097,909.7059999999999,24.336119288625408,32.230667466302634,31.771180641263857,44.11764705882353,11.76470588235294,3.888888888888889,63.320982,93.320982,6
34,853.3730217232834,800.5410000000097,909.7059999999999,24.64750808791672,32.58582124794047,32.09303466559513,45.45454545454545,12.121212121212121,3.7777777777777777,64.320982,94.320982,7
34,851.7676687821067,800.5409999999955,909.7059999999999,26.255172843457895,33.176885194907435,32.71217982210545,48.484848484848484,12.121212121212121,3.7777777777777777,65.320982,95.320982,8
34,850.1623158409307,800.5409999999955,909.7059999999999,27.674140268603207,33.044343273890945,32.55849735548467,48.484848484848484,12.121212121212121,3.7777777777777777,66.320982,96.320982,9
35,846.1454211026183,727.7650000000051,909.7059999999999,34.51437605337921,35.5225642563864,35.25714068957387,47.05882352941176,14.705882352941178,4.375,67.320982,97.320982,10
35,844.0660782454752,727.7650000000051,909.7059999999999,35.01777661715065,37.79606671187168,37.27068360519379,50.0,17.647058823529413,4.375,68.320982,98.320982,11
