nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,window_start,window_end,window_number
16,752.7390624999981,673.1439999999935,964.2339999999905,80.78360612192503,97.65029574270368,95.11561953923635,40.0,26.666666666666668,3.2,56.041312000000005,86.041312,1
15,750.7681333333314,673.1439999999935,964.2339999999905,83.2198338497546,101.32154508578506,98.3338812980665,42.857142857142854,28.57142857142857,3.0,57.041312000000005,87.041312,2
14,747.2161428571407,673.1439999999935,964.2339999999905,85.17316154197108,101.33653090948309,97.45147194372917,38.46153846153847,23.076923076923077,2.8,58.041312000000005,88.041312,3
14,779.7037857142838,673.1439999999935,1364.480999999998,182.74860119518428,132.47950252281396,136.89038508461923,38.46153846153847,23.076923076923077,2.8,59.041312000000005,89.041312,4
14,779.7037857142838,673.1439999999935,1364.480999999998,182.74860119518428,132.47950252281396,136.89038508461923,38.46153846153847,23.076923076923077,2.8,60.041312000000005,90.041312,5
14,779.7037857142838,673.1439999999935,1364.480999999998,182.74860119518428,132.47950252281396,136.89038508461923,38.46153846153847,23.076923076923077,2.8,61.041312000000005,91.041312,6
13,785.1016923076902,673.1439999999935,1364.480999999998,189.04555449828462,137.46403612457723,142.48003014194643,41.66666666666667,25.0,3.25,62.041312000000005,92.041312,7
11,798.8419090909066,673.1439999999935,1364.480999999998,203.80380780616127,150.08504402119615,155.972997344412,50.0,30.0,5.5,63.041312000000005,93.041312,8
10,805.9537999999975,673.1439999999935,1364.480999999998,213.3844291959671,157.41051604756603,164.40997503057866,55.55555555555556,33.33333333333333,5.0,64.041312,94.041312,9
10,805.9537999999975,673.1439999999935,1364.480999999998,213.3844291959671,157.41051604756603,164.40997503057866,55.55555555555556,33.33333333333333,5.0,65.041312,95.041312,10
10,805.9537999999975,673.1439999999935,1364.480999999998,213.3844291959671,157.41051604756603,164.40997503057866,55.55555555555556,33.33333333333333,5.0,66.041312,96.041312,11
