Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-06-23T13:05:36.474;538831900524038976;-40547;-91355;-39333;-298782;
2025-06-23T13:05:36.492;538831900542234496;-40532;-91335;-39222;-298738;
2025-06-23T13:05:36.511;538831900560430080;-40516;-91376;-39327;-298796;
2025-06-23T13:05:36.529;538831900578625664;-40497;-91307;-39303;-298798;
2025-06-23T13:05:36.547;538831900596821184;-40562;-91403;-39302;-298760;
2025-06-23T13:05:36.565;538831900615016768;-40541;-91436;-39362;-298744;
2025-06-23T13:05:36.583;538831900633212288;-40611;-91475;-39427;-298799;
2025-06-23T13:05:36.602;538831900651407872;-40612;-91478;-39443;-298764;
2025-06-23T13:05:36.620;538831900669603456;-40709;-91599;-39521;-298770;
2025-06-23T13:05:36.638;538831900687798976;-40778;-91617;-39572;-298782;
2025-06-23T13:05:36.656;538831900705994560;-40792;-91691;-39625;-298712;
2025-06-23T13:05:36.674;538831900724190114;-40871;-91694;-39748;-298758;
2025-06-23T13:05:36.693;538831900742385472;-40804;-91759;-39758;-298758;
2025-06-23T13:05:36.711;538831900760580800;-40841;-91731;-39807;-298776;
2025-06-23T13:05:36.729;538831900778776128;-40789;-91699;-39779;-298727;
2025-06-23T13:05:36.747;538831900796971520;-40775;-91680;-39700;-298741;
2025-06-23T13:05:36.765;538831900815166848;-40748;-91668;-39747;-298769;
2025-06-23T13:05:36.784;538831900833362176;-40665;-91636;-39650;-298776;
2025-06-23T13:05:36.802;538831900851557504;-40650;-91575;-39622;-298743;
2025-06-23T13:05:36.820;538831900869752832;-40581;-91504;-39507;-298772;
2025-06-23T13:05:36.838;538831900887948224;-40446;-91472;-39476;-298770;
2025-06-23T13:05:36.856;538831900906143552;-40415;-91478;-39418;-298839;
2025-06-23T13:05:36.875;538831900924338880;-40352;-91410;-39288;-298770;
2025-06-23T13:05:36.893;538831900942534208;-40329;-91438;-39171;-298768;
2025-06-23T13:05:36.911;538831900960729536;-40224;-91341;-39046;-298789;
2025-06-23T13:05:36.929;538831900978924864;-40221;-91361;-39029;-298812;
2025-06-23T13:05:36.947;538831900997120256;-40173;-91324;-38977;-298823;
2025-06-23T13:05:36.966;538831901015315584;-40166;-91294;-38965;-298820;
2025-06-23T13:05:36.984;538831901033510912;-40073;-91272;-38952;-298778;
2025-06-23T13:05:37.002;538831901051706240;-39994;-91210;-38854;-298744;
2025-06-23T13:05:37.020;538831901069901568;-39947;-91176;-38753;-298734;
2025-06-23T13:05:37.038;538831901088096960;-39958;-91191;-38706;-298775;
2025-06-23T13:05:37.056;538831901106292288;-39908;-91092;-38585;-298823;
2025-06-23T13:05:37.075;538831901124487616;-39766;-91074;-38489;-298756;
2025-06-23T13:05:37.093;538831901142682944;-39708;-91023;-38389;-298743;
2025-06-23T13:05:37.111;538831901160878272;-39703;-91019;-38383;-298789;
2025-06-23T13:05:37.129;538831901179073664;-39726;-91028;-38306;-298764;
2025-06-23T13:05:37.147;538831901197268992;-39751;-91126;-38319;-298804;
2025-06-23T13:05:37.166;538831901215464320;-39807;-91070;-38408;-298770;
2025-06-23T13:05:37.184;538831901233659648;-39905;-91108;-38467;-298788;
2025-06-23T13:05:37.202;538831901251854976;-39952;-91150;-38534;-298823;
2025-06-23T13:05:37.220;538831901270050368;-39985;-91254;-38664;-298759;
2025-06-23T13:05:37.238;538831901288245696;-40029;-91302;-38731;-298734;
2025-06-23T13:05:37.257;538831901306441024;-40037;-91373;-38696;-298770;
2025-06-23T13:05:37.275;538831901324636352;-40091;-91445;-38790;-298782;
2025-06-23T13:05:37.293;538831901342831680;-40146;-91449;-38837;-298743;
2025-06-23T13:05:37.311;538831901361027008;-40232;-91453;-38830;-298752;
2025-06-23T13:05:37.329;538831901379222400;-40223;-91504;-38814;-298730;
2025-06-23T13:05:37.348;538831901397417728;-40297;-91566;-38852;-298751;
2025-06-23T13:05:37.366;538831901415613056;-40250;-91560;-38842;-298773;
2025-06-23T13:05:37.384;538831901433808384;-40325;-91639;-38939;-298808;
2025-06-23T13:05:37.402;538831901452003712;-40346;-91596;-38880;-298791;
2025-06-23T13:05:37.420;538831901470199104;-40288;-91637;-38863;-298775;
2025-06-23T13:05:37.439;538831901488394402;-40274;-91623;-38861;-298752;
2025-06-23T13:05:37.457;538831901506590528;-40308;-91599;-38858;-298717;
2025-06-23T13:05:37.475;538831901524786624;-40348;-91608;-38824;-298775;
2025-06-23T13:05:37.493;538831901542982720;-40175;-91554;-38727;-298789;
2025-06-23T13:05:37.511;538831901561178816;-40198;-91571;-38772;-298804;
2025-06-23T13:05:37.530;538831901579374848;-40108;-91434;-38677;-298779;
2025-06-23T13:05:37.548;538831901597570944;-40144;-91409;-38663;-298784;
2025-06-23T13:05:37.566;538831901615767040;-40135;-91460;-38617;-298809;
2025-06-23T13:05:37.584;538831901633963136;-40084;-91486;-38612;-298829;
2025-06-23T13:05:37.602;538831901652159232;-40005;-91421;-38524;-298746;
2025-06-23T13:05:37.621;538831901670355328;-40001;-91468;-38565;-298779;
2025-06-23T13:05:37.639;538831901688551360;-40010;-91390;-38533;-298803;
