subject,from_size,to_size,child_rank,n_features,quick_accuracy,quick_std,features
bayu,15,14,16,14,0.5568181818181819,0.14552555085074656,"nn_count, nn_min, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,17,14,0.5568181818181819,0.14552555085074656,"nn_count, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd1_sd2_ratio, dfa"
bayu,15,14,18,14,0.5568181818181819,0.14552555085074656,"nn_count, nn_mean, nn_min, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,19,14,0.5568181818181819,0.14552555085074656,"nn_count, nn_mean, nn_min, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,20,14,0.5568181818181819,0.17943514064131838,"nn_count, nn_mean, nn_min, sdnn, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,21,14,0.5568181818181819,0.32221470178995054,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, lf_peak, sd1, sd2, dfa"
bayu,15,14,22,14,0.5568181818181819,0.32221470178995054,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, hf_norm, lf_peak, sd1, sd2, dfa"
bayu,15,14,23,14,0.5454545454545454,0.12309149097933274,"nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,24,14,0.5454545454545454,0.12309149097933274,"nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,25,14,0.5454545454545454,0.12309149097933274,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, lf_peak, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,26,14,0.5454545454545454,0.12309149097933274,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, lf_peak, sd1, sd1_sd2_ratio, dfa"
bayu,15,14,27,14,0.5454545454545454,0.12309149097933274,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, hf_norm, lf_peak, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,28,14,0.5454545454545454,0.12309149097933274,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, hf_norm, lf_peak, sd1, sd1_sd2_ratio, dfa"
bayu,15,14,29,14,0.5454545454545454,0.12309149097933274,"nn_count, nn_mean, nn_min, sdnn, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,30,14,0.5454545454545454,0.12309149097933274,"nn_count, nn_mean, nn_min, sdnn, pnn20, lf_power, hf_power, lf_hf_ratio, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,31,14,0.5454545454545454,0.15745916432444335,"nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,32,14,0.5454545454545454,0.15745916432444335,"nn_mean, nn_min, sdnn, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,15,14,33,14,0.5454545454545454,0.15745916432444335,"nn_count, nn_min, sdnn, sdsd, pnn20, lf_power, hf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd2, sd1_sd2_ratio, dfa"
