lf_power,hf_power,lf_hf_ratio,lf_norm,hf_norm,ln_hf,lf_peak,hf_peak,n_samples,window_start,window_end,window_number,nn_count
92.74745789076286,87.40257365947215,1.061152481071265,51.48345359290162,48.51654640709839,4.470524729132654,0.06779661016949153,0.2711864406779661,118,58.89613,88.89613,1,45
83.98874697887504,76.22437925137608,1.1018620001075154,52.423137201736004,47.57686279826399,4.333681349205555,0.06666666666666667,0.26666666666666666,120,59.89613,89.89613,2,46
85.88356023799582,83.58316230926988,1.0275222648338447,50.6787167103218,49.321283289678206,4.425842092021531,0.07017543859649122,0.2807017543859649,115,60.89613,90.89613,3,46
119.33131938569585,131.59526984317984,0.9068055373715275,47.556267254265,52.443732745735005,4.879731074804353,0.13559322033898305,0.2711864406779661,118,61.89613,91.89613,4,47
121.88972956702051,129.826422400976,0.9388668909827724,48.42348360009798,51.57651639990202,4.8661983459651905,0.06779661016949153,0.2711864406779661,118,62.89613,92.89613,5,47
121.32952840789204,121.36387050766749,0.9997170319335418,49.99292479731034,50.00707520268966,4.798793227310779,0.06779661016949153,0.2711864406779661,118,63.89613,93.89613,6,47
102.84443306730111,73.7537193737477,1.3944304631761815,58.23641507327331,41.76358492672671,4.3007314261346785,0.06779661016949153,0.2711864406779661,119,64.89613,94.89613,7,47
103.80913575193922,59.84230859104841,1.7347114139822415,63.433070309096465,36.56692969090353,4.091712912317918,0.06896551724137931,0.27586206896551724,117,65.89613,95.89613,8,46
110.14737272844637,49.52141228129566,2.224237307748375,68.9849131887149,31.015086811285098,3.9024051473819408,0.06779661016949153,0.2711864406779661,119,66.89613,96.89613,9,47
110.31315568467113,50.73365010416808,2.1743587433226734,68.49757444386147,31.502425556138537,3.9265894005803523,0.06896551724137931,0.27586206896551724,117,67.89613,97.89613,10,46
132.042834534957,60.432760653106854,2.184954536379742,68.60237756684982,31.39762243315018,4.1015313528168,0.06896551724137931,0.20689655172413793,117,68.89613,98.89613,11,46
