nn_count,nn_mean,nn_min,nn_max,sdnn,sdsd,rmssd,pnn20,pnn50,triangular_index,window_start,window_end,window_number
47,617.6307979267123,584.1549999999955,693.6840000000046,23.77026995946846,25.249923522384897,24.986568107239126,26.08695652173913,6.521739130434782,2.473684210526316,59.160334000000006,89.160334,1
46,616.7711413599014,584.1549999999955,693.6840000000046,23.282572610293695,24.948222684807313,24.669462844115834,24.444444444444443,6.666666666666667,2.4210526315789473,60.160334000000006,90.160334,2
47,616.8539894160738,584.1549999999955,693.6840000000046,23.347492192581175,25.405665170809712,25.131132814902955,26.08695652173913,6.521739130434782,2.611111111111111,61.160334000000006,91.160334,3
46,617.1679891859884,584.1549999999955,693.6840000000046,23.817908214803577,25.534954448881635,25.262671164200242,26.666666666666668,6.666666666666667,2.875,62.160334000000006,92.160334,4
47,619.572819203308,584.1549999999955,693.6840000000046,25.551925654045295,25.792397844450992,25.55984390209379,28.26086956521739,6.521739130434782,2.9375,63.160334000000006,93.160334,5
47,621.9032021820314,584.1549999999955,693.6840000000046,24.679693528627165,25.957289687393015,25.70118423501174,28.26086956521739,6.521739130434782,2.9375,64.160334,94.160334,6
46,622.7238152729451,584.1549999999955,693.6840000000046,24.295455041740667,26.707623675295768,26.409205105953173,31.11111111111111,6.666666666666667,2.875,65.160334,95.160334,7
47,623.8452021820311,584.1549999999955,693.6840000000046,24.053815352588423,26.799507660590418,26.533330237553706,32.608695652173914,6.521739130434782,2.9375,66.160334,96.160334,8
46,624.7080326642492,584.1549999999955,693.6840000000046,23.572771228788675,26.562271674643643,26.268609746985234,31.11111111111111,6.666666666666667,2.875,67.160334,97.160334,9
46,626.6922500555537,584.1549999999955,693.6840000000046,23.610688033764497,26.69498674862909,26.409174385585853,31.11111111111111,6.666666666666667,2.875,68.160334,98.160334,10
46,626.6922500555536,584.1549999999955,693.6840000000046,23.610688033764497,27.268825527159887,26.964136349262322,33.33333333333333,6.666666666666667,2.875,69.160334,99.160334,11
