combination_name,kernel,kernel_params,features,n_features,subject,sample_idx,true_label,predicted_label,correct,subject_accuracy
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,29,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,30,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,31,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,32,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,33,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,34,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,35,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,36,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,37,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,38,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,39,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,40,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,41,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,42,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,43,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,44,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,45,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,46,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,47,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,48,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,49,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,50,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,51,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,52,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,53,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,54,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,55,truth,lie,False,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,56,truth,lie,False,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,57,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,58,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,59,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,60,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,61,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,62,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,63,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,64,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,65,truth,truth,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,66,lie,lie,True,0.8295454545454546
best_12feat,rbf,"{'svm__C': 10, 'svm__gamma': 0.1}","nn_count, pnn20, hf_power, lf_hf_ratio, lf_norm, hf_norm",6,bayu,67,lie,lie,True,0.8295454545454546
